"List of employers who were issued a positive  Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
Newfoundland and Labrador,    High Wage,Coastal Shipping Ltd,"Lewisporte, NL A0G 3A0","0016-Senior managers - construction, transportation, production and utilities",1
,,Empowered Homes Inc.,"St. John's, NL A1B 3X5","0124-Advertising, marketing and public relations managers",1
,,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0","0016-Senior managers - construction, transportation, production and utilities",1
,,,,2134-Chemical engineers,2
,,Nunavut Excavating 2007 Inc,"Mount Pearl, NL A1N 0C9",7271-Carpenters,2
,,,,7312-Heavy-duty equipment mechanics,2
,,Solace Power Incorporated,"Mount Pearl, NL A1N 5E7",2133-Electrical and electronics engineers,1
,,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2145-Petroleum engineers,2
,,,,"8222-Contractors and supervisors, oil and gas drilling and services",2
,,Vale Newfoundland and Labrador Limited,"St. John's, NL A1C 1K4",0811-Managers in natural resources production and fishing,1
,,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,3
,,,,3112-General practitioners and family physicians,1
,   Low Wage,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",9463-Fish and seafood plant workers,50
,,Torbay Fun Foods Ltd.,"St. John's, NL A1A 4L6",6322-Cooks,1
,  Primary Agriculture,Hillside Holsteins Farm Limited,"Harcourt, NL A5A 3A2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,3
,,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,20
,,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1",1241-Administrative assistants,1
,,Health PEI,"Charlottetown, PE C1A 7N8",3111-Specialist physicians,1
,,PEI Ocean View Resort Inc.,"Summerside, PE C1N 2V5",6321-Chefs,3
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,10
,   Low Wage,King's BBQ & Chinese Food Ltd.,"Charlottetown, PE C1E 1E7",6322-Cooks,1
,,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,36
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,27
,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,7
,,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",15
,,,,8431-General farm workers,30
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-General farm workers,4
,,,,8611-Harvesting labourers,2
,,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-General farm workers,8
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,9
,,Jewell's Produce,"York, PE C0A 1P0",8431-General farm workers,4
,,,,8611-Harvesting labourers,8
,,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,35
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,2
,,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-General farm workers,12
Nova Scotia,    High Wage,3243020 Nova Scotia Limited o/an Cha Baa Thai Restuarant,"Halifax, NS B3J 2J6",6322-Cooks,6
,,3246757 Nova Scotia Limited,"Beechville, NS B3N 3N3",7322-Motor vehicle body repairers,1
,,3300590 Nova Scotia Limited o/a Gangnam Korean BBQ,"Halifax, NS B3J 1Y2",6322-Cooks,1
,,ABK Biomedical Inc.,"Halifax, NS B3S 1B3",2121-Biologists and related scientists,1
,,Clearwater Seafoods LP,"Halifax, NS B4A 3Z7","2148-Other professional engineers, n.e.c.",1
,,Dalhousie University,"Halifax, NS B3H 4R2",4011-University professors and lecturers,3
,,Efes Restaurant Ltd.,"Halifax, NS B3H 1Y7",6322-Cooks,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",3
,,,,0113-Purchasing managers,1
,,,,0211-Engineering managers,2
,,,,0711-Construction managers,2
,,,,0911-Manufacturing managers,6
,,,,1122-Professional occupations in business management consulting,1
,,,,"2148-Other professional engineers, n.e.c.",1
,,,,4021-College and other vocational instructors,1
,,Kitcoder Inc.,"Liverpool, NS B0T 1K0","0013-Senior managers - financial, communications and other business services",1
,,Melvin Tan Sushi Company,"Antigonish, NS B2G 1C6",6322-Cooks,1
,,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",3112-General practitioners and family physicians,1
,,,,3216-Medical sonographers,3
,,,,4151-Psychologists,1
,,Precision Concrete Services Ltd,"Halifax, NS B3K 5M4",7282-Concrete finishers,1
,,SBM Nova Scotia Contractors Inc.,"Dartmouth, NS B2W 6L4","8222-Contractors and supervisors, oil and gas drilling and services",1
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2174-Computer programmers and interactive media developers,1
,,Spectrum Hospitality Canada Co,"Halifax, NS B3J 2V1",6321-Chefs,5
,,The Classic Therapy Group Inc.,"Halifax, NS B3L 1A8",3142-Physiotherapists,1
,,Waterford Energy Services Inc.,"Halifax, NS B3J 1Z4","8222-Contractors and supervisors, oil and gas drilling and services",1
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,4
,   Low Wage,Aedos Marketing Concepts Inc.,"Halifax, NS B3J 3K3",6211-Retail sales supervisors,2
,,Blue Elephant Thai Restaurant Limited,"Halifax, NS B3S 1E5",6322-Cooks,2
,,Bluemont Group Ltd.,"Dartmouth, NS B3A 1M9",6322-Cooks,1
,,Elmer's and Casablanca Restaurant Ltd,"Wolfville, NS B4P 2N5",6322-Cooks,3
,,John Ross & Sons Limited,"Halifax, NS B3S 1B3",7452-Material handlers,10
,,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Boat assemblers and inspectors,2
,,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",9463-Fish and seafood plant workers,10
,,Mirchi Tandoor Inc.,"Halifax, NS B3J 1J7",6322-Cooks,3
,,Moncton Fresh Casual Restaurants Inc o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,2
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6321-Chefs,1
,,North End Community Day Care Centre,"Halifax, NS B3K 1X2",4214-Early childhood educators and assistants,1
,,One-For-One Limited,"Halifax, NS B3M 2R1",6322-Cooks,1
,,Pàcherie Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,16
,,Peter Green Hall Children's Centre,"Halifax, NS B3H 2Z9",4214-Early childhood educators and assistants,2
,,Tawa Grill,"Halifax, NS B3J 1R9",6322-Cooks,2
,,Trullo Ristorante Italiano Limited,"Dartmouth, NS B2Y 0C6",6322-Cooks,1
,,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9463-Fish and seafood plant workers,11
,  Primary Agriculture,3115695 Nova Scotia Ltd.,"Centreville, NS B0P 1J0",8431-General farm workers,5
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,5
,,Barteaux Farms,"Annapolis Royal, NS B0S 1A0",8431-General farm workers,1
,,Bidalosy Farms Limited,"Beaver Brook, NS B6L 1H4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,8
,,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Nursery and greenhouse workers,9
,,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Nursery and greenhouse workers,18
,,Elite Balsam Products Inc,"St Andrews, NS B0H 1X0",8432-Nursery and greenhouse workers,6
,,Ellslea Farms Ltd.,"Canning, NS B0P 1H0",8431-General farm workers,3
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,24
,,Eyking Brothers Farm,"Millville, NS B1Y 2E2",8431-General farm workers,18
