"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",6322-Cooks,1
,,Kvaerner Canada Limited,"St. John's, NL A1C 6C9",0711-Construction managers,1
,,Labrador-Grenfell Health,"Happy Valley-Goose Bay, NL A0P 1C0",3111-Specialist physicians,1
,,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4","8222-Contractors and supervisors, oil and gas drilling and services",1
,,Technip  Canada Limited,"St. John's, NL A1B 0L2","8222-Contractors and supervisors, oil and gas drilling and services",1
,   Low Wage,Awesome Enterprises Limited,"MOUNT PEARL, NL A1N 1G4",6311-Food service supervisors,1
,,Clarenville Foods Inc. o/a Jungle Jim's Restaurant,"Portugal Cove, NL A1M 1E3",6322-Cooks,1
,,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",6211-Retail sales supervisors,4
,  Primary Agriculture,Birdhouse Garden Market Inc.,"HAPPY VALLEY - GOOSE BAY, NL A0P 1E0",8432-Nursery and greenhouse workers,1
,,J & C Sod Farm Ltd,"Bay Bull, NL A0A 1C0",8431-General farm workers,3
,,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",8431-General farm workers,12
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,20
,   Low Wage,8208115 Canada Ltd. o/a Terre Rouge Bistro Marche,"CHARLOTTETOWN, PE C1A 4A7",6322-Cooks,1
,,Beach Point Processing Company,"Beach Point, PE C0A 1V0",9463-Fish and seafood plant workers,101
,,Belle River Enterprises Ltd.,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,10
,,By The Water Shellfish (2012) Inc.,"Borden-Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,14
,,Captain Cooke's Seafood Inc.,"Borden-Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,17
,,GPS Food Inc. o/a Greco Pizza,"WINSLOE, PE C1E 1Z2",6311-Food service supervisors,1
,,Little Tree Inc. o/a King Wok Restaurant,"SUMMERSIDE, PE C1N 6C1",6322-Cooks,2
,,"North Lake Fisheries (2013), Inc.","Montague, PE C0A 1R0",9463-Fish and seafood plant workers,60
,,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,58
,,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,102
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,45
,,Spring Valley Building Centre Ltd.,"Kensington, PE C0B 1M0",7452-Material handlers,4
,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,4
,,Birch Farms Limited,"SUMMERSIDE, PE C1N 4J9",8431-General farm workers,2
,,LORNE VALLEY RANCH,"CARDIGAN, PE C0A 1G0",8431-General farm workers,12
,,Mackenzie Produce Inc.,"STRATFORD, PE C1B 2R7",8432-Nursery and greenhouse workers,6
,,MGS Holdings & Distribution Co. Ltd,"ALBERTON, PE C0B 1B0",8431-General farm workers,60
,,Mol Farms Inc,"KINKORA, PE C0B 1N0",8431-General farm workers,4
,,Productions Vegkiss PEI,"Vernon River, PE C0A 2E0",8431-General farm workers,36
,,Pure Pork Farms Ltd.,"MOUNT ALLISON, PE C1B 4B3",8431-General farm workers,2
,,Smith Farms Ltd.,"KINKORA, PE C0B 1N0",8431-General farm workers,4
,,Van Diepen Produce Ltd,"Morell, PE C0A 1S0",8431-General farm workers,15
Nova Scotia,    High Wage,3299298 Nova Scotia Ltd. o/a Cha Baa Thai Restaurant,"Halifax, NS B3J 2J6",6322-Cooks,6
,,Advanced Precision Machining and Fabrication,"DARTMOUTH, NS B3B 1S3",7231-Machinists and machining and tooling inspectors,2
,,Clearwater Ocean Prawn Venture,"Lunenburg, NS B0J 2C0",7242-Industrial electricians,1
,,Gabadi Services Canada Inc.,"DARTMOUTH, NS B3B 1J4",7235-Structural metal and platework fabricators and fitters,7
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",3
,,,,0211-Engineering managers,2
,,,,0911-Manufacturing managers,1
,,,,2141-Industrial and manufacturing engineers,1
,,,,"2148-Other professional engineers, n.e.c.",1
,,Precision Concrete Services Ltd,"Bedford, NS B4B 1H1",7282-Concrete finishers,3
,,Queen Nails Sydney Inc.,"SYDNEY, NS B1P 6M6","6562-Estheticians, electrologists and related occupations",2
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2175-Web designers and developers,1
,,,,5121-Authors and writers,2
,,,,5241-Graphic designers and illustrators,1
,,Upper Fox Inc.,"Halifax, NS B3J 3E5","0016-Senior managers - construction, transportation, production and utilities",1
,   Low Wage,Aquashell Holdings Inc.,"Wallace, NS B0K 1Y0",9463-Fish and seafood plant workers,30
,,BiOne Restaurant Inc.,"Halifax, NS B3L 1A5",6322-Cooks,4
,,Blue Elephant Thai Restaurant,"Halifax, NS B3S 1E5",6322-Cooks,1
,,Breakwater Restaurant,"Pictou, NS B0K 1H0",6322-Cooks,2
,,Chase's Lobster Pound Ltd,"PUGWASH, NS B0K 1L0",9463-Fish and seafood plant workers,6
,,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",6322-Cooks,2
,,Fox Harb'r Developments Limited (or) Fox Harb'r Golf Resort & Spa,"Wallace, NS B0K 1Y0",6322-Cooks,2
,,Granville Gates & Sons Ltd,"Blandford, NS B0J 1C0","9617-Labourers in food, beverage and associated products processing",6
