"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS-WINDSOR, NL A2A 1Y4",3111-Specialist physicians,1
,,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",3111-Specialist physicians,1
,,Malthus Uniteam Canada Limited,"ARGENTIA, NL A0B 1W0","0016-Senior managers - construction, transportation, production and utilities",1
,   Low Wage,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cooks,1
,,K&S Holdings,"LABRADOR CITY, NL A2V  2W",6322-Cooks,3
,,Newfoundland and Labrador Inc.,"LABRADOR CITY, NL A2V 2Z2",6421-Retail salespersons,2
,,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",9463-Fish and seafood plant workers,50
,,Rainbow Daycare Company Ltd.,"ST. JOHN'S, NL A1E 5Z5",4214-Early childhood educators and assistants,1
,,West End Foods Limited o/a Jungle Jims,"St. John's, NL A1E 2E3",6322-Cooks,2
,  Primary Agriculture,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,4
,,Nu Mink Inc.,"Corner Brook, NL A2H 3E9",8431-General farm workers,2
, Global Talent Stream,Vision33,"ST JOHN'S, NL A1C 1A9",2174-Computer programmers and interactive media developers,1
Prince Edward Island,    High Wage,BioVectra Inc,"Charlottetown, PE C1E 0A1","9212-Supervisors, petroleum, gas and chemical processing and utilities",1
,,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,25
,,Coastal Culture Inc,"CHARLETTETOWN, PE C1A 7K6",0621-Retail and wholesale trade managers,1
,,Garden Isle Farms Ltd,"ALBANY, PE C0B 1A0",7511-Transport truck drivers,1
,,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",7511-Transport truck drivers,3
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,15
,   Low Wage,King's BBQ & Chinese Food Ltd.,"Charlottetown, PE C1E 1E7",6311-Food service supervisors,1
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,25
,  Primary Agriculture,Cassialane Holsteins Ltd.,"Freetown, PE C0B 1L0",8431-General farm workers,3
,,Cedar Grove Farms,"Richmond RR#1, PE C0B 1Y0",8431-General farm workers,2
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-General farm workers,8
,,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",8431-General farm workers,8
,,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4",8431-General farm workers,2
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,5
,,Jewell's Produce,"YORK, PE C0A 1P0",8431-General farm workers,11
,,McCardle Bros.,"Kinkora, PE C0B 1N0",8431-General farm workers,6
,,Reeves Farms Inc.,"Freetown, PE C0B 1L0",8431-General farm workers,2
,,Tiny Acres Holsteins,"Miscouche, PE C0B 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,41
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,6
,,W.P.Griffin Inc,"ELMSDALE, PE C0B 1K0",8431-General farm workers,12
Nova Scotia,    High Wage,3243020 Nova Scotia Limited o/a Cha Baa Thai Restuarant,"Halifax, NS B3J 2J6",6322-Cooks,6
,,ASANTE FREIGHT LINES & EXPORTS LTD,"TRURO, NS B2N 1B5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Atlantic Hardchrome Ltd.,"Dartmouth, NS B3B 1N2",7231-Machinists and machining and tooling inspectors,1
,,Chapman Autobody Ltd,"Halifax, NS B3K 4C2",7322-Motor vehicle body repairers,2
,,Clarke Road Transport Inc.,"Halifax, NS B3S 0B7",7511-Transport truck drivers,8
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,15
,,Dalhousie University,"HALIFAX, NS B3H 4R2",4011-University professors and lecturers,3
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",2
,,,,0211-Engineering managers,3
,,,,0711-Construction managers,1
,,,,0911-Manufacturing managers,3
,,,,2141-Industrial and manufacturing engineers,1
,,,,"2148-Other professional engineers, n.e.c.",2
,,,,2171-Information systems analysts and consultants,1
,,,,2253-Drafting technologists and technicians,1
,,Melvin Tan Sushi Company,"Antigonish, NS B2G 1C6",6322-Cooks,1
,,Nova Scotia Health Authority,"Halifax, NS B3H 2Y9",3012-Registered nurses and registered psychiatric nurses,1
,,Slumber Inns Ltd.,"NEW MINAS, NS B4N 3K8","1123-Professional occupations in advertising, marketing and public relations",1
,,Topaz Transport Inc.,"BEAVER BANK, NS B4E 3J4",7511-Transport truck drivers,2
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2174-Computer programmers and interactive media developers,1
,,,,5135-Actors and comedians,3
,,,,5241-Graphic designers and illustrators,2
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,4
,   Low Wage,3231974 Nova Scotia Limited.,"EASTERN PASSAGE, NS B3G 1M4",9618-Labourers in fish and seafood processing,3
,,3300590 Nova Scotia Limited o/a Gangnam Korean BBQ,"HALIFAX, NS B3J 1A3",6322-Cooks,1
,,Blue Elephant Thai Restaurant Limited,"Halifax, NS B3S 1E5",6322-Cooks,1
,,Mirchi Tandoor Inc.,"HALIFAX, NS B3J 1J7",6322-Cooks,1
,,Montessori House of Learning,"MIDDLE SACKVILLE, NS B4E 3A7",4214-Early childhood educators and assistants,2
,,Nautical Seafoods Ltd.,"GRANVILLE FERRY, NS B0S 1A0",9463-Fish and seafood plant workers,6
,,North End Community Day Care Centre,"Halifax, NS B3K 1X2",4214-Early childhood educators and assistants,1
,,Papa Marios Pizza Limited,"HALIFAX, NS B3L 4V9",6322-Cooks,1
,,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd.,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,16
,,Vical Hospitality Ltd,"AMHERT, NS B4H 1S2",6322-Cooks,1
,,WASABI HOUSE RESTAURANT LTD,"Halifax, NS B3L 1A7",6322-Cooks,1
,  Primary Agriculture,3115695 Nova Scotia Limited (Warner Vineyards),"Centreville, NS B0P 1J0",8431-General farm workers,5
,,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,159
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,48
,,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,160
,,Basinview Farms Ltd,"Canning, NS B0P 1H0",8431-General farm workers,14
,,Birchleigh Farms Ltd,"ROCKLAND, NS B0P 1E0",8431-General farm workers,12
,,Crisp Growers Inc.,"Berwick, NS B0P 1E0",8431-General farm workers,20
,,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-General farm workers,8
