"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0","2273-Deck officers, water transport",4
Newfoundland and Labrador,    High Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0","2274-Engineer officers, water transport",4
Newfoundland and Labrador,    High Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7242-Industrial electricians,1
Newfoundland and Labrador,    High Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7532-Water transport deck and engine room crew,9
Newfoundland and Labrador,    High Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",7612-Other trades helpers and labourers,1
Newfoundland and Labrador,    High Wage,Bailey Veterinary Surgical Specialty Ltd.,"St. John's, A1N3J7",3114-Veterinarians,1
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, A1N3J5",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,WesTower Communications Ltd.,"St. John's, A1A5G6",7245-Telecommunications line and cable workers,2
Newfoundland and Labrador,   Low Wage,60178 Newfoundland & Labrador Corp,"Placentia, A0B2Y0",6332-Bakers,2
Newfoundland and Labrador,   Low Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Anglo Eastern Ship Managment Ltd,"Wanchai, A0A0A0","6711-Food counter attendants, kitchen helpers and related support occupations",1
Newfoundland and Labrador,   Low Wage,Barry Group Inc.,"Corner Brook, A2H3E9",9463-Fish and seafood plant workers,50
Newfoundland and Labrador,   Low Wage,kids kampus inc,"Portugal cove, A1M2R2",4214-Early childhood educators and assistants,1
Newfoundland and Labrador,   Low Wage,Louis Gee's Pizza & Donairs,"CORNER BROOK, A2H2Z3",6311-Food service supervisors,1
Newfoundland and Labrador,   Low Wage,Louis Gee's Pizza & Donairs,"CORNER BROOK, A2H2Z3",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Nails Time Inc.,"St. John's, A1E5T2","6562-Estheticians, electrologists and related occupations",1
Newfoundland and Labrador,   Low Wage,Quinlan Brothers Ltd.,"Bay de Verde, A0A1E0",9618-Labourers in fish and seafood processing,60
Newfoundland and Labrador,   Low Wage,S&J Investments Inc.,"Holyrood, A0A2R0",6322-Cooks,1
Newfoundland and Labrador,  Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls, A0A1C0",8431-General farm workers,1
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, A0N1X0",8431-General farm workers,5
Newfoundland and Labrador,  Primary Agriculture,Rideout's Dairy Inc.,"Cormack, A8A2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Newfoundland and Labrador,  Primary Agriculture,Viking Fur Inc.,"Cavendish, A0B1J0",8431-General farm workers,4
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Clyde River, C0A1H3",7511-Transport truck drivers,12
Prince Edward Island,    High Wage,J & C Ventures Inc,"Stratford, C1B2E9",7511-Transport truck drivers,6
Prince Edward Island,   Low Wage,10713490 Canada Limited,"Charlottetown, C1A2X2",6321-Chefs,1
Prince Edward Island,   Low Wage,Belle River Enterprises Ltd,"Belle River, C0A1B0",9463-Fish and seafood plant workers,10
Prince Edward Island,   Low Wage,Captain Cooke's Seafood Inc,"Borden Carleton, C0B1X0",9463-Fish and seafood plant workers,21
Prince Edward Island,   Low Wage,DD Pizza and Donair Hub,"Charlottetown, C1A4N4",6322-Cooks,1
Prince Edward Island,   Low Wage,KILDARE FISHERIES LTD,"Alberton, C0B1B0",9463-Fish and seafood plant workers,75
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, C0A1K0",9463-Fish and seafood plant workers,60
Prince Edward Island,   Low Wage,Perrys Construction Ltd.,"Tignish, C0B2B0",7611-Construction trades helpers and labourers,12
