"List of employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream,  National Occupational Classification (NOC) 2011 and business location in 2017 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
Newfoundland and Labrador,    High Wage,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",2264-Construction inspectors,8
,,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0","2273-Deck officers, water transport",4
,,,,"2274-Engineer officers, water transport",5
,,,,7242-Industrial electricians,2
,,,,"7252-Steamfitters, pipefitters and sprinkler system installers",2
,,,,7532-Water transport deck and engine room crew,8
,,Canada Fluorspar (NL) Inc.,"St. Lawrence, NL A0E 2V0",0711-Construction managers,1
,,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4","2273-Deck officers, water transport",7
,,,,"2274-Engineer officers, water transport",6
,,,,6522-Pursers and flight attendants,2
,,,,7242-Industrial electricians,3
,,,,7371-Crane operators,2
,,,,7532-Water transport deck and engine room crew,4
,,Green Food Industries Inc.,"St. John's, NL A1B 1W3",6322-Cooks,1
,,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",0911-Manufacturing managers,1
,,Sorensen School Of Dance Ltd,"St. John's, NL A1A 4L5",5134-Dancers,1
,,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",0711-Construction managers,2
,,,,1221-Administrative officers,2
,,,,1522-Storekeepers and partspersons,2
,,,,2154-Land surveyors,3
,,,,2232-Mechanical engineering technologists and technicians,14
,,,,2241-Electrical and electronics engineering technologists and technicians,4
,,,,2263-Inspectors in public and environmental health and occupational health and safety,3
,,,,"2273-Deck officers, water transport",8
,,,,"2274-Engineer officers, water transport",9
,,,,6522-Pursers and flight attendants,2
,,,,7242-Industrial electricians,4
,,,,7311-Construction millwrights and industrial mechanics,5
,,,,7371-Crane operators,6
,,,,"7384-Other trades and related occupations, n.e.c.",52
,,,,7532-Water transport deck and engine room crew,14
,,Suncor Energy Services Inc,"St John's, NL A1C 1B6","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Toiber Toys Ltd.,"St. John's, NL A1E 1B8",0621-Retail and wholesale trade managers,1
,   Low Wage,67527 Newfoundland and Labrador Ltd.,"Clarenville, NL A5A 2C2",6322-Cooks,3
,,75038 Newfoundland and Labrador Inc.,"St. John's, NL A1C 4Z5",6322-Cooks,1
,,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0",6322-Cooks,2
,,,,6513-Food and beverage servers,2
,,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",6322-Cooks,2
,,Clarenville Foods Inc.,"Portugal Cove, NL A1M 1E3",6322-Cooks,1
,,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4",6322-Cooks,1
,,,,6513-Food and beverage servers,2
,,Goulding's Wholesale Limited,"Charlottetown, NL A0C 1L0",6332-Bakers,3
,,,,6731-Light duty cleaners,1
,,,,7452-Material handlers,1
,,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",6322-Cooks,2
,,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",6322-Cooks,4
,,,,6513-Food and beverage servers,6
,,Wong's Palace Limited,"Marystown, NL A0E 2M0",6322-Cooks,1
,  Primary Agriculture,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,3
,,Rideout's Dairy Inc.,"Cormack, NL A8A 2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Spruce Meadow Farm,"Happy Valley Goose Bay, NL A0P 1E0",8431-General farm workers,3
,,Viking Fur Inc,"Cavendish, NL A0B 1J0",8431-General farm workers,2
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,20
,,Health PEI,"Charlottetown, PE C1A 7N8",3111-Specialist physicians,1
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,10
,   Low Wage,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",6322-Cooks,1
,,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",6322-Cooks,1
,,Mary's Cornwall Bakery,"Cornwall, PE C0A 1H0",6332-Bakers,1
,,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Construction trades helpers and labourers,8
,  Primary Agriculture,Arlington Orchards Inc,"Arlington, PE C0B 1Y0",8431-General farm workers,6
,,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,4
,,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,3
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-General farm workers,3
,,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",8431-General farm workers,2
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8611-Harvesting labourers,4
,,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Mol Farms Inc,"Kinkora, PE C0B 1N0",8431-General farm workers,3
,,Ponds Edge Farms Inc.,"Souris, PE C0A 2B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,The Berry Patch,"Tracadie Cross, PE C0A 1T0",8431-General farm workers,3
,,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,3
Nova Scotia,    High Wage,3281964 Nova Scotia Limited,"Lower Sackville, NS B4C 2R8",6322-Cooks,1
,,Burnbrae Farm & Paradise Inn Inc.,"Paradise, NS B0S 1R0",0632-Accommodation service managers,1
,,Cha Baa Thai Restaurant Ltd.,"Halifax, NS B3J 2J6",6322-Cooks,6
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,8
,,Dalhousie University,"Halifax, NS B3H 4R2",4011-University professors and lecturers,1
,,DSRA Architecture Incorporated,"Halifax, NS B3J 2V1",2253-Drafting technologists and technicians,1
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,EM&I Stantec Ltd.,"Dartmouth, NS B3B 1S1",2261-Non-destructive testers and inspection technicians,3
,,Gever Developments Limited,"Halifax, NS B3S 1N5",0711-Construction managers,2
,,IMP Group Limited,"Amherst, NS B4H 4J6","2244-Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1
,,Infi Systems Ltd.,"Halifax, NS B3J 3N2",2171-Information systems analysts and consultants,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
,,,,0113-Purchasing managers,1
,,,,0711-Construction managers,1
,,,,0911-Manufacturing managers,8
,,,,1122-Professional occupations in business management consulting,1
,,,,2133-Electrical and electronics engineers,1
,,Masontech Inc,"Halifax, NS B3K 3T6",7281-Bricklayers,2
,,Orienteering Association of Nova Scotia,"Halifax, NS B3J 1G6",2255-Technical occupations in geomatics and meteorology,1
,,Perez Cleaning Services,"Elmsdale, NS B2S 0A1",6315-Cleaning supervisors,1
,,Spectrum Hospitality Canada Inc.,"Halifax, NS B3J 2V1",0631-Restaurant and food service managers,13
,,,,1226-Conference and event planners,2
,,,,6321-Chefs,7
,,,,6322-Cooks,4
,   Low Wage,3261369 Nova Scotia Ltd.,"Bridgewater, NS B4V 2V6",6322-Cooks,1
,,9140271 Canada Inc.,"North Sydney, NS B2A 1N6",6311-Food service supervisors,1
,,9902937 Canada Inc.,"Halifax, NS B3L 1K3",6731-Light duty cleaners,3
,,Ace Upholstery Limited,"Halifax, NS B3T 1P4",6345-Upholsterers,1
