"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,    High Wage,Bailey Veterinary Surgical Specialty Ltd.,"St. John's, NL A1N 3J7",3114-Veterinarians,1
Prince Edward Island,   Low Wage,10713490 Canada Limited,"Charlottetown, PE C1A 2X2",6321-Chefs,1
Prince Edward Island,   Low Wage,DD Pizza and Donair Hub,"Charlottetown, PE C1A 4N4",6322-Cooks,1
Nova Scotia,    High Wage,3327411 Nova Scotia Limited,"HALIFAX, NS B3J 3J8","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,"SHIL Technologies, Inc","Halifax, NS B3J 3N2",2175-Web designers and developers,2
Nova Scotia,   Low Wage,D.B. Kenney Fisheries (2014) Ltd,"Westport, NS B0V 1H0",9463-Fish and seafood plant workers,2
Nova Scotia,   Low Wage,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,2
Nova Scotia,   Low Wage,East Coast Pizza,"Antigonish, NS B2G 2E3","6711-Food counter attendants, kitchen helpers and related support occupations",3
Nova Scotia,   Low Wage,New Vision Health Care Inc,"KENTVILLE, NS B4N 2K5",6322-Cooks,1
Nova Scotia,   Low Wage,sushi jet japanese cuisine inc,"HALIFAX, NS B3N 2S8",6322-Cooks,1
New Brunswick,    High Wage,Pit Stop Motel Service Ltd,"Berry Mills, NB E1G 3Z3",0632-Accommodation service managers,1
New Brunswick,    High Wage,POINT QUEEN FISHERIES LTD.,"L'Etete, NB E5C 2R6",0621-Retail and wholesale trade managers,1
New Brunswick,   Low Wage,057033 NB Inc,"Shediac, NB E4P 2K9","4412-Home support workers, housekeepers and related occupations",3
New Brunswick,   Low Wage,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",2254-Land survey technologists and technicians,1
New Brunswick,   Low Wage,Boomerangs steakhouse nb limited inc,"Moncton, NB E1C 0R9",6322-Cooks,1
New Brunswick,   Low Wage,KB Pharmacy Ltd o/a Shoppers Drug Mart 181,"DIEPPE, NB E1A  4X",6421-Retail salespersons,1
New Brunswick,   Low Wage,Miramichi Subway Inc,"Miramichi, NB E1V 3T7",6311-Food service supervisors,1
New Brunswick,   Low Wage,Robin&Grace Retail Ltd.,"Scoudouc, NB E4P 3S1",6211-Retail sales supervisors,1
New Brunswick,  Primary Agriculture,Maple A.L. inc,"Kedgwick River, NB E8B 1V6",8431-General farm workers,1
Quebec,    High Wage,9070-2812 QUEBEC INC,"QUÉBEC, QC G1N 2E6",0631-Restaurant and food service managers,1
Quebec,    High Wage,9132-6470 Québec Inc.,"SALABERRY DE VALLEYFIELD, QC J6S 0A5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9288-1218 Qc Inc.,"MONTRÉAL, QC H2H 1V5",6321-Chefs,1
Quebec,    High Wage,9381-9647 Québec inc.,"DORVAL, QC H9S 5Y2","0124-Advertising, marketing and public relations managers",1
Quebec,    High Wage,Bella Yuna Enterprises Ltd. o/a Hollywood Boutique,"MONT SAINT HILAIRE, QC J3H 0N4","0124-Advertising, marketing and public relations managers",1
Quebec,    High Wage,JORDAN PROPERTY INVESTMENT INC,"BOIS-DES-FILION, QC J6Z 1Z9","0013-Senior managers - financial, communications and other business services",1
Quebec,    High Wage,Kabayan Transfert Argent Inc.,"MONTREAL, QC H3W 1J1",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Les productions Romeo et Fils inc.,"MONTRÉAL, QC H2T 1A8","5131-Producers, directors, choreographers and related occupations",1
Quebec,    High Wage,Les Toitures Daniel Inc.,"DRUMMONDVILLE, QC J2C 7E9",7291-Roofers and shinglers,1
Quebec,    High Wage,O'Burger/Thai Express (Mascouche),"Mascouche, QC J7K 2L5",0631-Restaurant and food service managers,1
Quebec,   Low Wage,9372-0605 Quebec Inc,"MONTRÉAL, QC H1G 1R3",7511-Transport truck drivers,1
Quebec,   Low Wage,9444955 Canada Inc.,"SAINT-JÉRÔME, QC J7Y 2H9",6322-Cooks,1
Quebec,   Low Wage,Ensuite Media,"MONTRÉAL, QC H2Y 2R6","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,   Low Wage,Équipements Agricole du Suroît Inc.,"SAINT-POLYCARPE, QC J0P 1X0",7611-Construction trades helpers and labourers,3
Quebec,   Low Wage,Initiatives Équestres Internationales inc.,"Mirabel, QC J7J 2P3","5254-Program leaders and instructors in recreation, sport and fitness",1
Quebec,   Low Wage,Mintz Global Screening Inc.,"Montreal, QC H3C 1R4",1415-Personnel clerks,2
Quebec,  Primary Agriculture,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-General farm workers,4
Quebec, Global Talent Stream,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,9223-7932 Québec Inc.,"WESTMOUNT, QC H3Z 1T3","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,1197475 BC Ltd.,"Markham, ON L3R 6G2",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,1279317 ONTARIO LTD,"Toronto, ON M6B 1P8",5242-Interior designers and interior decorators,1
Ontario,    High Wage,1365089 Ontario Inc.,"Mississauga, ON L4T 4J3",1221-Administrative officers,1
Ontario,    High Wage,1455492 Ontario Inc.,"Mississauga, ON L5T 1R2",1221-Administrative officers,1
