"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,   Low Wage,Drover Restaurants Incorporated o/a Wing'n It Bay Roberts,"BAY ROBERTS, NL A0A 1G0",6322-Cooks,1
Prince Edward Island,    High Wage,Belgo Transport Inc.,"GREEN BAY, PE C0A 1Y0",7511-Transport truck drivers,1
,   Low Wage,NK Quality Restoration o/a Paul Davis PEI,"SUMMERSIDE, PE C1N 4J1",7611-Construction trades helpers and labourers,1
,,Ta Ke Sushi,"Charlottetown, PE C1A 4B1",6322-Cooks,1
Nova Scotia,    High Wage,Kingsport Studios Limited  o/a Kingsport Osteopathic Clinic,"KINGSPORT, NS B0P 1H0",3232-Practitioners of natural healing,1
,,Nova Scotia Health Authority,"Halifax, NS B3H 2Y9",4151-Psychologists,1
,,Precision Concrete Services Ltd,"Bedford, NS B4B 1H1",7282-Concrete finishers,2
,,Shining Tree Creative Inc.,"Halifax, NS B3J 2V1","0013-Senior managers - financial, communications and other business services",1
,,Stelia Aéronautique Amérique du Nord Inc,"Lunenburg, NS B0J 2C0",0111-Financial managers,1
,,Topaz Transport Inc.,"BEAVER BANK, NS B4E 3J4",7511-Transport truck drivers,3
,,WestFor Management Inc.,"BRIDGEWATER, NS B4V 2W9","8211-Supervisors, logging and forestry",1
,   Low Wage,7109938 Canada Ltd. o/a First Choice Haircutters,"Fall River, NS B2T 1H7",6341-Hairstylists and barbers,1
,,Bagel Montreal Style Incorporated,"DARTMOUTH, NS B3A 4K9",6332-Bakers,2
,,Buta Ramen Inc.,"HALIFAX, NS B3J 1B3",6322-Cooks,2
,,DB Embroidery Solutions Inc,"Dartmouth, NS B2W 3T9","9442-Weavers, knitters and other fabric making occupations",2
,,Jubilee Road Children's Centre,"HALIFAX, NS B3H 2E8",4214-Early childhood educators and assistants,2
,,Samli Rojsawangthip o/a KajohnThai Restaurant,"HALIFAX, NS B3K 2A4",6322-Cooks,5
,  Primary Agriculture,Basinview Farms Ltd,"CANNING, NS B0P 1H0",8611-Harvesting labourers,2
New Brunswick,    High Wage,682364 NB Inc. o/a Lee's Mini Mart,"FREDERICTON, NB E3B 8P4",0621-Retail and wholesale trade managers,1
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",8241-Logging machinery operators,6
,,UTRADE Inc.,"MONCTON, NB E1C 5W1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,   Low Wage,Bathurst Pizza Ltd.,"CARAQUET, NB E1W 1B7",6311-Food service supervisors,1
,,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cooks,1
,,JJ Food & Diner Inc.,"SACKVILLE, NB E4L 3N6",6322-Cooks,1
,,Truleigh Country Manor,"MONCTON, NB E1G 2X1","3413-Nurse aides, orderlies and patient service associates",1
Quebec,    High Wage,9345-5210 Québec Inc,"MONTRÉAL, QC H4R 1J9",0631-Restaurant and food service managers,1
,,A Quinta,"MONTRÉAL, QC H2K 1T6",6321-Chefs,1
,,A. & R. Belley Inc.,"SHERBROOKE, QC J1K 2B3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Aeronav  Inc.,"Pointe-Claire, QC H9R 4T7",6221-Technical sales specialists - wholesale trade,1
,,Design Galleria inc.,"MONTRÉAL, QC H1R 1B3",7272-Cabinetmakers,1
,,M.P.B. Communications Inc.,"POINTE-CLAIRE, QC H9R 1E9",2241-Electrical and electronics engineering technologists and technicians,1
,   Low Wage,GDG Environnement Ltée,"TROIS-RIVIÈRES, QC G8T 6H3",2221-Biological technologists and technicians,1
,,La Pizzeria Dorval Express,"DORVAL, QC H9S 3H3",6322-Cooks,1
,,Vocadémie communauté culturel,"MONTRÉAL, QC H4E 1N9",6531-Tour and travel guides,1
,  Primary Agriculture,Ferme Miri SENC.,"Saint-Ubalde, QC G0A 4L0",8431-General farm workers,1
, Global Talent Stream,9367-2079 Québec inc,"MONTRÉAL, QC H2T 2S5",2173-Software engineers and designers,1
Ontario,    High Wage,1095980 B.C. Ltd. o/a Cadence Health Centre,"TORONTO, ON M5T 2C2",3112-General practitioners and family physicians,3
,,1166552 Ontario Inc. o/a Pioneer Cruises,"NORTH YORK, ON M3J 3K6",1226-Conference and event planners,4
,,,,6411-Sales and account representatives - wholesale trade (non-technical),3
,,1407407 Ontario Ltd o/a Astra Healthcare,"Brampton, ON L6S 0C9",6221-Technical sales specialists - wholesale trade,1
,,1559585 Ontario Inc.  o/a Penusa Import,"MARKHAM, ON L3R 8E8",6222-Retail and wholesale buyers,1
,,1655789 Ontario Inc,"TORONTO, ON M6A 2T9",0631-Restaurant and food service managers,1
,,1835601 Ontario Ltd,"Mississauga, ON L5M 4Z5","0651-Managers in customer and personal services, n.e.c.",1
,,2212425 Ontario Inc.,"MINDEN HILLS, ON K0M 2K0",0632-Accommodation service managers,1
,,2228977 Ontario Inc.,"Guelph, ON N1H 6H7","9411-Machine operators, mineral and metal processing",2
