"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,   Low Wage,White Crescent Variety Inc.,"Happy Valley- Goose Bay, NL A0P 1E0",6421-Retail salespersons,1
Nova Scotia,    High Wage,N&N Electric Motor Specialists Ltd,"Dartmouth, NS B3A 1H8",2242-Electronic service technicians (household and business equipment),1
,,,,7333-Electrical mechanics,1
,   Low Wage,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",7312-Heavy-duty equipment mechanics,1
New Brunswick,    High Wage,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Transport truck drivers,5
,,UC Education Inc.,"Frederitcon, NB E3B 1B1","0014-Senior managers - health, education, social and community services and membership organizations",1
,   Low Wage,Fenety Convenience Store Ltd.  o/a Blue Canoe,"Waasis, NB E3B 9E1",6322-Cooks,3
,,Violette Motors Ltd.,"Edmundston, NB E7C 0C1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,  Primary Agriculture,Cavendish Farms Corp,"Dieppe, NB E1A 6X4",8431-General farm workers,6
Quebec,    High Wage,9320-0228 Quebec Inc.,"Ancienne Lorette, QC G2E 5G3",6322-Cooks,1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",7311-Construction millwrights and industrial mechanics,1
,,CVCM Inc.,"Québec, QC G1V 0E9",6411-Sales and account representatives - wholesale trade (non-technical),1
,,ÉCOLE DE PILOTAGE SAINT-HUBERT INC.,"Saint-Hubert, QC J3Y 8Y9","2271-Air pilots, flight engineers and flying instructors",1
,,Environnement routier NRJ Inc.,"Lachine, QC H8R 1K6",7312-Heavy-duty equipment mechanics,1
,,Makki & Mittsu Inc,"Montréal, QC H2V 4G9",6321-Chefs,1
,,Ministères Enseignemoi,"Waterloo, QC J0E 2N0",5225-Audio and video recording technicians,1
,,MMS Laser,"Victoriaville, QC G6T 2A9",7237-Welders and related machine operators,3
,,Odotech Inc.,"MONTRÉAL, QC H3V 1A2",2281-Computer network technicians,1
,,Optimacell Inc o/a Mobile Snap,"LAVAL, QC H7P 6E4",7246-Telecommunications installation and repair workers,2
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6",5241-Graphic designers and illustrators,1
,,PRODUITS D'ACIER HASON INC. (LES),"LANORAIE, QC J0K 1E0",7237-Welders and related machine operators,3
,,Produits de construction Derby inc.,"St-Augustin-de-Desmaures, QC G3A 2K1",2232-Mechanical engineering technologists and technicians,1
,,Restaurant Normandin (2014) Inc.,"Québec, QC G2B 1B3",6322-Cooks,1
,,Shipco Transport (Canada) inc.,"Lachine, QC H8T 1A4",0731-Managers in transportation,1
,,Studios Framestore Inc.,"Montréal, QC H2T 3B3",5241-Graphic designers and illustrators,1
,,Tianjin Inspiration et créativité Sci-tech Développement Inc.,"Montreal, QC H2Y 2W8","0013-Senior managers - financial, communications and other business services",1
,,"Zef Scientific, Inc.","Dorval, QC H9P 1J8",2241-Electrical and electronics engineering technologists and technicians,1
,   Low Wage,9222-6737 Québec Inc.,"Montreal, QC H2X 3K8",0631-Restaurant and food service managers,1
,,9348-5407 Québec inc,"Dollard-des-Ormeaux, QC H9B 2K4","5254-Program leaders and instructors in recreation, sport and fitness",1
,,CLUB DE GYMNASTIQUE LES RÉFLEXES INC.,"Boucherville, QC J4B 1Z6",5252-Coaches,1
,,Les Entreprises Marvais Inc.,"Boucherville, QC J4B 5E4",0631-Restaurant and food service managers,1
,,Nab Kebab Inc.,"Rimouski, QC G5L 2L2",6322-Cooks,1
,,Restaurant Calao Inc.,"QUÉBEC, QC G1V 0C1",6321-Chefs,1
,,Servodirection DSG inc.,"Québec, QC G2J 1P7",7445-Other repairers and servicers,1
,,Sushi Shop Campus Inc.,"Montréal, QC H2X 3X2",6322-Cooks,1
,,Usinage Nado inc.,"Sherbrooke, QC J1L 1K4",9416-Metalworking and forging machine operators,2
Ontario,    High Wage,1161132 Ontario Limited,"MISSISSAUGA, ON L5T 2E1","1123-Professional occupations in advertising, marketing and public relations",1
,,1261535 Ontario Limited.,"Markham, ON L6E 0L4",6322-Cooks,1
,,1263591 Ontario Limited O/A Cynthia's Chinese Restaurant,"Vaughan, ON L4J 7Y3",6322-Cooks,1
,,1530483 Ontario Inc.,"Cambridge, ON N3C 1E9",0631-Restaurant and food service managers,1
,,1542766 Ontario Inc. O/A Fix-Rite Auto Tech,"Mississauga, ON L5T 1E6",0621-Retail and wholesale trade managers,1
,,1734233 Ontario Ltd.,"Etobicoke, ON M6J 1X5",7281-Bricklayers,1
,,2056032 Ontario Ltd. o/a Trio Ristorante Pizzeria,"Toronto, ON M4N 2L5",6322-Cooks,1
,,2063490 Ontario Inc.,"Concord, ON L4K 3Z3",7511-Transport truck drivers,3
,,2079644 Ontario Inc.,"Woodbridge, ON L4H 3T6",0631-Restaurant and food service managers,1
,,2175706 Ontario Inc- DBA Empress of India,"CAMBRIDGE, ON N3C 2V4",0631-Restaurant and food service managers,1
,,2207801 Ontario Inc.,"Brampton, ON L6W 1M6",6222-Retail and wholesale buyers,1
,,2226004 Ontario Ltd.,"MARKHAM, ON L3S 0B6",1223-Human resources and recruitment officers,1
,,2318328 Ontario Ltd,"Mississauga, ON L5V 2X8",0621-Retail and wholesale trade managers,1
,,2347191 Ontario Inc.,"North York, ON M2M 2M6",0621-Retail and wholesale trade managers,1
,,2350936 Ontario Inc.,"Brampton, ON L6Y 5K4",1221-Administrative officers,1
,,2389080 Ontario Inc,"Pickering, ON L1W 1G4",6322-Cooks,1
,,2432146 Ontario Inc.,"Markham, ON L3R 1H3",1221-Administrative officers,1
,,2442018 Ontario Limited,"Toronto, ON M5V 3X8",0631-Restaurant and food service managers,1
,,2449603 Ontario Inc.,"Toronto, ON M6L 2H8","6313-Accommodation, travel, tourism and related services supervisors",1
,,2458524 Ontario Inc.,"TORONTO, ON M5T 2H1",6322-Cooks,5
,,786 Ummah Investments Corp.,"Brampton, ON L6P 0S2",6211-Retail sales supervisors,1
,,792839 Ontario Inc.,"Timmins, ON P4N 8S3",7333-Electrical mechanics,2
,,9339396 Canada Inc,"Toronto, ON M5J 3A7",0631-Restaurant and food service managers,1
,,949710 Ontario Limited,"Mississauga, ON L4T 3M6",7322-Motor vehicle body repairers,1
,,Abacus Growth Agency Incorporated,"TORONTO, ON M5V 2A5","1123-Professional occupations in advertising, marketing and public relations",1
,,ABS Associates Inc. O/A The Khana Sutra,"Brampton, ON L6S 5X9",6321-Chefs,2
,,Almer Corporation,"RICHMOND HILL, ON L4B 3A8",2175-Web designers and developers,1
,,Alpha Comfort Control Ltd.,"MISSISSAUGA, ON L5L 1J9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Amar Transport Inc.,"Kleinburg, ON L0J 1C0",7511-Transport truck drivers,10
,,Andy Stieva Trucking Ltd.,"BEAMSVILLE, ON L0R 1B0",7511-Transport truck drivers,1
,,Apollon Ironworks,"NORTH YORK, ON M3J 2N1",7237-Welders and related machine operators,1
,,Arcadian Projects Ltd.,"BADEN, ON N3A 3J7",2232-Mechanical engineering technologists and technicians,1
,,AS General Contracting And Investment,"Scarborough, ON M1X 1E7",0711-Construction managers,1
,,ASIA PACIFIC INTERNATIONAL INC,"Toronto, ON M5C 2M6",2252-Industrial designers,2
,,Awecademy Corp.,"Toronto, ON M5V 0G9","0014-Senior managers - health, education, social and community services and membership organizations",1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producers, directors, choreographers and related occupations",1
,,Bella Vista Restaurant 1991,"Ottawa, ON K1V 7T5",6321-Chefs,1
,,Besi Auto Collision LTD.,"Toronto, ON M6R 2C1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Brascan Molds Corporation,"Mississauga, ON L5S 1V3",9417-Machining tool operators,1
,,Campechano Inc.,"Toronto, ON M5V 1T5",6321-Chefs,1
,,Carrier Truck Centres Inc.,"Woodstock, ON N4S 7V8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Century 3000 Auto Collision Center LTD,"Etobicoke, ON M8Z 5K2",7322-Motor vehicle body repairers,3
,,Challenges Unlimited Inc. (CUI),"Bracebridge, ON P1L 1X4",2264-Construction inspectors,1
,,Circle Productions Ltd,"Toronto, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",1
,,Comfort Hospitality Inc.,"Niagara Falls, ON L2G 6A4","6313-Accommodation, travel, tourism and related services supervisors",1
,,Compound Metal Coatings Inc.,"Mississauga, ON L5T 1L9",2232-Mechanical engineering technologists and technicians,1
,,Concept Plastics Ltd.,"Brantford, ON N3T 1X5",0911-Manufacturing managers,2
,,Davis Controls Limited,"Oakville, ON L6H 5R3",6221-Technical sales specialists - wholesale trade,1
,,Denny's Auto Wash Inc.,"Oakville, ON L6J 7T5",6315-Cleaning supervisors,1
,,Dr. Maryam Adibfar Dentistry Professional Corp.,"Toronto, ON M4S 1Y2",1221-Administrative officers,1
,,EarthSoft Canada Inc.,"Leamington, ON N8H 5C9",2113-Geoscientists and oceanographers,1
,,Elgra Inc.,"Vaughan, ON L4K 2M9",6421-Retail salespersons,1
,,ENGA Controls Inc.,"Toronto, ON M9W 5P1",7242-Industrial electricians,1
,,Esras Fashion Accessories Ltd,"Mississauga, ON L5H 3V1","0013-Senior managers - financial, communications and other business services",1
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",7511-Transport truck drivers,1
,,Farrage Developments Inc,"Toronto, ON M2R 2P3",0711-Construction managers,1
,,,,0712-Home building and renovation managers,1
,,Fila Metal Polishing and Buffing,"Scarborough, ON M1S 3J2",9612-Labourers in metal fabrication,1
,,Firenza Plumbing & Heating Ltd.,"North York, ON M3L 1G5",7251-Plumbers,1
,,Gem Dental Studio,"Sarnia, ON N7T 5W3","3223-Dental technologists, technicians and laboratory assistants",1
,,General Dynamics Land Systems-Canada,"London, ON N5V 2Z7",2132-Mechanical engineers,1
,,Ghazale on Wellesley Inc.,"Markham, ON L3R 2N7",0631-Restaurant and food service managers,1
,,Ghumman & Partners LLP,"MISSISSAUGA, ON L5T 2J8",1311-Accounting technicians and bookkeepers,1
,,GKN Sinter Metals - St. Thomas,"St. Thomas, ON N5P 1H1",0211-Engineering managers,1
,,Harmony Hyundai Inc.,"Rockland, ON K4K 1J8",0621-Retail and wholesale trade managers,1
,,Hood Cleaners of America Inc.,"Mississauga, ON L4W 2Z8",0714-Facility operation and maintenance managers,1
,,Hylan Group Inc.,"Toronto, ON M5H 3K6",0711-Construction managers,1
,,Iknoor Trucking Inc.,"Brampton, ON L6Y 0X2",7511-Transport truck drivers,4
,,Imam Hussian - Association,"Scarborough, ON M1V 5J5",5212-Technical occupations related to museums and art galleries,1
,,J.C. Williams Group Limited,"Toronto, ON M5C 1P1","0124-Advertising, marketing and public relations managers",1
,,Jeem Services Ltd.,"Kitchener, ON N2P 2H8",0711-Construction managers,1
,,JOHNSON PLAYFAIR INC.,"Toronto, ON M4M 2L3",7281-Bricklayers,1
,,Korbitec Inc,"Toronto, ON M5C 1B5",2174-Computer programmers and interactive media developers,1
,,KPG Canada Inc.,"Bolton, ON L7E 1E5",2233-Industrial engineering and manufacturing technologists and technicians,1
,,KSB Pumps Inc.,"Mississauga, ON L4W 3N8","0016-Senior managers - construction, transportation, production and utilities",1
,,Little Guys Delivery Services Inc.,"Markham, ON L3R 9R7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",6321-Chefs,1
,,London Eco-Roof Manufacturing Inc.,"Dorchester, ON N0L 1G4",7291-Roofers and shinglers,4
,,Merinos Carpet Inc.,"MISSISSAUGA, ON L5T 1V9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,MJR Contractors Ltd.,"Mississauga, ON L4Z 1C2",7271-Carpenters,1
,,Moonstone Quartz Inc. o/a Lucent Quartz,"CONCORD, ON L4K 3M9",6222-Retail and wholesale buyers,1
,,"NRT Canada, Inc.","Tibury, ON N0P 2L0",6221-Technical sales specialists - wholesale trade,1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
,,OTT Financial Inc.,"North York, ON M2N 6L7","0124-Advertising, marketing and public relations managers",1
,,PakCan Kashmir Handicrafts Ltd.,"Brampton, ON L6T 5T1",0621-Retail and wholesale trade managers,1
,,Paz Roofing and Waterproofing Corporation,"Thornhill, ON L3T 2C6","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Pointone Graphics Inc.,"Etobicoke, ON M8Z 5J4","0124-Advertising, marketing and public relations managers",1
,,Pranav Dave Professional Corporation,"Brampton, ON L7A 0S9",1221-Administrative officers,1
,,QBuild Corporation,"Markham, ON L3R 1E6",2174-Computer programmers and interactive media developers,1
,,Right To Play International,"Toronto, ON M5C 1C4","4164-Social policy researchers, consultants and program officers",1
