"Employers Who Were Issued a Negative Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Requested Positions
Prince Edward Island,    High Wage,9321624 CANADA INC.,"CHARLOTTETOWN, C1A6X8",3231-Opticians,1
Prince Edward Island,   Low Wage,By the Water Shellfish (2012) Inc,"Borden Carleton, C0B1X0",9463-Fish and seafood plant workers,14
Nova Scotia,    High Wage,Alzeer Holdings Inc.,"Halifax, B3J3K3",6322-Cooks,1
Nova Scotia,   Low Wage,Double Dragon Restaurant Inc.,"New Minas, B4N3E2",6322-Cooks,2
Nova Scotia,   Low Wage,Petit de Grat Packers Ltd.,"Petit de Grat, B0E2L0",9618-Labourers in fish and seafood processing,30
Nova Scotia,   Low Wage,sushi jet japanese cuisine inc,"HALIFAX, B3N2S8",6322-Cooks,1
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, B0P1E0",8431-General farm workers,5
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, B0P1E0",,1
New Brunswick,    High Wage,Admiral Glass Ltd.,"Fredericton, E3B6G9",2234-Construction estimators,1
New Brunswick,    High Wage,COUNTY LINE TRUCKING LTD,"WILMOT, E7P2V4",7511-Transport truck drivers,5
New Brunswick,   Low Wage,618479 NB INc,"Bouctouche, E4S3J7",6311-Food service supervisors,1
New Brunswick,   Low Wage,669950 N.B LTD,"Fredericton, E3B1B9",6322-Cooks,1
New Brunswick,   Low Wage,670486 NB INC.,"Saint John, E2L2H7",6311-Food service supervisors,1
New Brunswick,   Low Wage,670486 NB INC.,"Saint John, E2L2H7",6322-Cooks,1
New Brunswick,   Low Wage,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, E1G2T5",2225-Landscape and horticulture technicians and specialists,1
New Brunswick,   Low Wage,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, E1G2T5",7282-Concrete finishers,3
New Brunswick,   Low Wage,DJ Marine Supplies Ltee,"Pointe-Sapin, E9A1T4","9535-Plastic products assemblers, finishers and inspectors",3
New Brunswick,   Low Wage,Park's Thai Pho Inc.,"Saint John, E2L5C7",6311-Food service supervisors,1
New Brunswick,   Low Wage,Park's Thai Pho Inc.,"Saint John, E2L5C7",6322-Cooks,1
New Brunswick,  Primary Agriculture,ETRT Production Inc.,"DSL Drummond, E3Y2V2",8431-General farm workers,2
Quebec,    High Wage,1357-0726 Québec Inc.,"QUÉBEC, G1K8L4",8421-Chain saw and skidder operators,1
Quebec,    High Wage,3220257 Canada Inc.,"CHATEAUGUAY, J6J4Z2",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9146-4511 Québec inc.,"L'ÎLE-BIZARD, H9C1W9",7611-Construction trades helpers and labourers,1
Quebec,    High Wage,9148-6886 Québec Inc.,"SAINT-JÉRÔME, J7Y5K8",8241-Logging machinery operators,1
Quebec,    High Wage,9221-1598 Québec inc,"Québec, G3J1Y7",8241-Logging machinery operators,1
Quebec,    High Wage,ACTIVE MEDIA INC.,"Montreal, H1X2W3",8421-Chain saw and skidder operators,1
Quebec,    High Wage,Au coin berbère (2013) inc.,"Repentigny, J5Y3P1",6321-Chefs,1
Quebec,    High Wage,Auberge Saint-Antoine Inc,"Québec, G1K4C9",8421-Chain saw and skidder operators,1
Quebec,    High Wage,Beenox Inc,"QUÉBEC, G1K3H3",8241-Logging machinery operators,1
Quebec,    High Wage,Busbud Inc,"MONTRÉAL, H2T1X6",2175-Web designers and developers,1
Quebec,    High Wage,Famic Technologies Inc.,"Saint-Laurent, H4M2X5",8421-Chain saw and skidder operators,1
Quebec,    High Wage,LA CIE MORUZZI LTÉE,"St-Léonard, H1P3L7",1241-Administrative assistants,1
Quebec,    High Wage,Le Colbert,"Montréal, H4N1P8",2234-Construction estimators,1
Quebec,    High Wage,Les Résidences Chanoine-Scott inc.,"Québec, G1V3N5",6322-Cooks,1
Quebec,    High Wage,Micro Logic Sainte-Foy Ltée,"QUÉBEC, G1V1V8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Quebec,    High Wage,Restaurant Donnacona (2014) inc.,"QUÉBEC, G2B1B3",8241-Logging machinery operators,1
Quebec,    High Wage,Solution Balance X-Cell inc.,"Drummondville, J2C6Z5",8421-Chain saw and skidder operators,1
Quebec,    High Wage,Solutions Beeye Inc.,"Montréal, H2L3K8",8241-Logging machinery operators,2
Quebec,    High Wage,Solutions Struc-Soft Ltée,"DORVAL, H9S 5T8","0014-Senior managers - health, education, social and community services and membership organizations",1
Quebec,    High Wage,Transport Bourret Inc.,"Drummondville, J2B8G8",8421-Chain saw and skidder operators,1
Quebec,    High Wage,TRANSPORT KAHKASHAN INC.,"Laval, H7R1L2",7511-Transport truck drivers,6
Quebec,    High Wage,Université du Québec à Montréal,"MONTRÉAL, H3C3P8",0011-Legislators,1
Quebec,   Low Wage,8528853 Canada inc.,"Saint-Joseph-de-Beauce, G0S2V0",7611-Construction trades helpers and labourers,6
Quebec,   Low Wage,9301-8828 Quebec inc.,"Montreal, H3N1B1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
