"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,Jin Dragon Restaurant Holding Inc.,"St John's, NL A1E 1S2",0631-Restaurant and food service managers,1
Newfoundland and Labrador,   Low Wage,BENNETT STREET DAYCARE LTD,"Paradise, NL A1L 2Y1",4214-Early childhood educators and assistants,1
Newfoundland and Labrador,   Low Wage,Drovers Restaurants Inc,"Bay Roberts, NL A0A 1G0",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,GOULDS FOODS INC,"PORTUGAL COVE ST PHILIPS, NL A1M 1E3",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,Nails Time Inc.,"St. John's, NL A1E 5T2","6562-Estheticians, electrologists and related occupations",1
Newfoundland and Labrador,   Low Wage,Nor-Lab Ltd,"Happy Valley-Goose Bay, NL A0P 1E0",6322-Cooks,3
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, NL A0N 1X0",8431-General farm workers,5
Prince Edward Island,    High Wage,Canadian Nectar Products Inc.,"Charlottetown, PE C1A 4B1","0124-Advertising, marketing and public relations managers",1
Prince Edward Island,    High Wage,MacKenzie Builder Services Ltd.,"Eglington, PE C0A 2B0",7271-Carpenters,1
Prince Edward Island,    High Wage,Massage Addict Charlottetown,"Charlottetown, PE C1A 0C9",3236-Massage therapists,2
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6513-Food and beverage servers,1
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,6
Prince Edward Island,  Primary Agriculture,Eastern Farms Ltd.,"Pownal, PE C1B 3S5",8431-General farm workers,8
Prince Edward Island,  Primary Agriculture,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-General farm workers,6
Prince Edward Island,  Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,45
Prince Edward Island,  Primary Agriculture,VanderZwaag Farms Inc.,"Vernon River, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Verander Farms Inc.,"North Wiltshire, PE C0A 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,4
Nova Scotia,    High Wage,10094277 Canada Inc o/a Infitious Technologies,"HALIFAX, NS B3J 2T9",2283-Information systems testing technicians,2
Nova Scotia,    High Wage,3323768 Nova Scotia Limited o/a Efendi Turkish and Mediterranean Grill,"HALIFAX, NS B3J 2K4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Nova Scotia,    High Wage,Cha Baa Thai Restaurant Ltd.,"Halifax, NS B3J 2J6",6322-Cooks,12
Nova Scotia,    High Wage,Comfort Orthotics & Podiatry Clinic Inc.,"Bedford, NS B4A 3Y4",3125-Other professional occupations in health diagnosing and treating,1
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,2
Nova Scotia,    High Wage,Eljan Flooring Ltd,"bedford, NS B4B 1Y2","7204-Contractors and supervisors, carpentry trades",1
Nova Scotia,    High Wage,Gabadi Services Canada Inc.,"Halifax, NS B3J 3N2",7271-Carpenters,4
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0711-Construction managers,3
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","2148-Other professional engineers, n.e.c.",2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",7235-Structural metal and platework fabricators and fitters,3
Nova Scotia,    High Wage,Kingsport Studios Limited  o/a Kingsport Osteopathic Clinic,"KINGSPORT, NS B0P 1H0",3232-Practitioners of natural healing,1
Nova Scotia,    High Wage,Long Point Ventures Limited,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,6
Nova Scotia,    High Wage,Nova Scotia Health Authority,"Truro, NS B2N  5A",3111-Specialist physicians,1
Nova Scotia,   Low Wage,3027059 Nova Scotia Limited,"Elmsdale, NS B2S 1K1",6311-Food service supervisors,1
Nova Scotia,   Low Wage,3056092 Nova Scotia Ltd.  o/a Pizzatown - Tantallon,"Upper Tantallon, NS B3Z 4R3",6322-Cooks,2
Nova Scotia,   Low Wage,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6322-Cooks,3
Nova Scotia,   Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9618-Labourers in fish and seafood processing,16
Nova Scotia,   Low Wage,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6316-Other services supervisors,1
Nova Scotia,   Low Wage,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6322-Cooks,2
Nova Scotia,   Low Wage,7109938 Canada Ltd.,"Bridgewater, NS B4V 3T2",6341-Hairstylists and barbers,1
Nova Scotia,   Low Wage,Arirang Restaurant Incorporated,"Halifax, NS B3M 3W8",6311-Food service supervisors,1
Nova Scotia,   Low Wage,ARISU TABLE BBQ AND SUSHI BAR LIMITED,"HALIFAX, NS B3J 1X3",6322-Cooks,1
Nova Scotia,   Low Wage,BIONE Restaurant INC.,"Halifax, NS B3L 1A5",6322-Cooks,1
Nova Scotia,   Low Wage,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cooks,2
Nova Scotia,   Low Wage,Fisher Direct LTD,"Shelburne County, NS B0W 3B0",9618-Labourers in fish and seafood processing,9
Nova Scotia,   Low Wage,It Takes a Village Inc.,"Halifax, NS B3S 1P9",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,JACMAR restaurants Ltd o/a McDonalds,"BROOKLYN, NS B5A 4T4",6311-Food service supervisors,1
Nova Scotia,   Low Wage,Jay`s Convenience Barn Inc. o/a Jay's Convenience,"Halifax, NS B3K 5K6",6211-Retail sales supervisors,1
Nova Scotia,   Low Wage,John Ross & Sons Ltd.,"Halifax, NS B3S 1B3",7452-Material handlers,13
Nova Scotia,   Low Wage,Lin’s Take Out Restaurant Limited,"Westville, NS B0K 2A0",6322-Cooks,1
Nova Scotia,   Low Wage,Naji Fine Foods Ltd.,"Halifax, NS B3S 1P9",6322-Cooks,2
Nova Scotia,   Low Wage,Pizza Delight,"Antigonish, NS B2G 2C5",6322-Cooks,1
Nova Scotia,   Low Wage,Quality Seafoods Limited,"Yarmouth, NS B5A 4B3",9463-Fish and seafood plant workers,6
Nova Scotia,   Low Wage,Randy's Pizza,"Halifax, NS B3K 4B6",6322-Cooks,2
Nova Scotia,  Primary Agriculture,3115695 Nova Scotia Limited,"Rr#2 Centreville, NS B0P 1J0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,63
Nova Scotia,  Primary Agriculture,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8431-General farm workers,11
Nova Scotia,  Primary Agriculture,Archibald Dairy Inc,"NewTown, Guysborough County, NS B2H 5C8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,9
Nova Scotia,  Primary Agriculture,Boundary Lane Farms Ltd.,"Shubenacadie, NS B0N 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Nova Scotia,  Primary Agriculture,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-General farm workers,7
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,D & M Lightfoot Farms Ltd,"Wolfvllle, NS B4P  2S",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Elite Balsam Products Incorporated,"St. Andrew's, NS B0H 1X0",8432-Nursery and greenhouse workers,6
Nova Scotia,  Primary Agriculture,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,22
Nova Scotia,  Primary Agriculture,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-General farm workers,18
Nova Scotia,  Primary Agriculture,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,23
Nova Scotia,  Primary Agriculture,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,68
Nova Scotia,  Primary Agriculture,JOST VINEYARDS LIMITED,"Malagash, NS B0K 1E0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,Luckett Farms Ltd.,"Wolfville, NS B4P 2R3",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,M. KEDDY FARM & FOREST LTD.,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,5
Nova Scotia,  Primary Agriculture,Millen Farms Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,209
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Scothorn Farms Ltd,"Hardwood Lands, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,7
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,34
Nova Scotia,  Primary Agriculture,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,24
Nova Scotia,  Primary Agriculture,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8431-General farm workers,1
Nova Scotia,  Primary Agriculture,Vermeuland Farms Ltd.,"Milford Station, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,26
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8611-Harvesting labourers,36
Nova Scotia,  Primary Agriculture,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-General farm workers,16
Nova Scotia, Global Talent Stream,AtlantiCann Medical Inc.,"Halifax, NS B3N 0C6","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia, Global Talent Stream,Butterfield Support Services (Halifax) Limited,"Halifax, NS B3J 3M8",0213-Computer and information systems managers,1
Nova Scotia, Global Talent Stream,Lixar IT Inc,"Halifax, NS B3K 2Z8",2174-Computer programmers and interactive media developers,1
Nova Scotia, Global Talent Stream,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2175-Web designers and developers,1
Nova Scotia, Global Talent Stream,REDspace Inc.,"Bedford, NS B4A 3Y4",2174-Computer programmers and interactive media developers,1
Nova Scotia, Global Talent Stream,Salient Energy Inc,"DARTMOUTH, NS B2Y 4M9",2211-Chemical technologists and technicians,1
New Brunswick,    High Wage,10993018 Canada Corporation,"Moncton, NB E1G 0E6",7511-Transport truck drivers,1
New Brunswick,    High Wage,682364 NB INC,"Fredericton, NB E3B 8P4",6316-Other services supervisors,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, NB E3B 1B2",6322-Cooks,1
New Brunswick,    High Wage,Amal Transport Inc,"Woodstock, NB E7M 2M1",7511-Transport truck drivers,3
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,BALAJI HOSPITALITY MANAGEMENT INC.,"Miramichi, NB E1V 1L2",6315-Cleaning supervisors,1
New Brunswick,    High Wage,DONNELLY FARMS LTD,"Lansdowne, NB E7L 4K4",7511-Transport truck drivers,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Food service supervisors,8
New Brunswick,    High Wage,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Food service supervisors,1
New Brunswick,    High Wage,Freight Chain Inc,"ST-HILAIRE, NB E3V 4W7",7511-Transport truck drivers,1
New Brunswick,    High Wage,"Irving Consumer Products, Limited","Dieppe, NB E1A 6X4",0911-Manufacturing managers,1
New Brunswick,    High Wage,ISRALIFE LTD.,"SAINT JOHN, NB E2J 3W9",6211-Retail sales supervisors,2
New Brunswick,    High Wage,Jeramand Trucking Ltd.,"Irishtown, NB E1H 2L3",7511-Transport truck drivers,1
New Brunswick,    High Wage,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Transport truck drivers,1
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Transport truck drivers,2
New Brunswick,    High Wage,Pit Stop Motel Service Ltd,"Berry Mills, NB E1G 3Z3",0632-Accommodation service managers,1
New Brunswick,    High Wage,Quality Transportation services NB ltd,"Jacksonville, NB E7M 3S1",7511-Transport truck drivers,5
New Brunswick,    High Wage,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1","0013-Senior managers - financial, communications and other business services",1
New Brunswick,    High Wage,SEJIN TOKYO RAMEN INC,"Fredericton, NB E3B 4K4",6322-Cooks,1
New Brunswick,    High Wage,World Wide Atlantic Freight Inc,"Scoudouc, NB E4P 3N6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
New Brunswick,   Low Wage,622735 NB INC,"Lake George, NB E6K 3P9",6322-Cooks,2
New Brunswick,   Low Wage,645527 NB Inc.,"Edmundston, NB E3V 2S7",6322-Cooks,2
New Brunswick,   Low Wage,658711 NB LTD.,"Miramichi, NB E1V 1X4",6322-Cooks,1
New Brunswick,   Low Wage,669950 N.B LTD,"Fredericton, NB E3B 1B9",6322-Cooks,1
New Brunswick,   Low Wage,684373 NB Inc,"quispamsis, NB E2E 4J8",6322-Cooks,2
New Brunswick,   Low Wage,684422 NB Inc.,"Moncton, NB E1C 2S3",6311-Food service supervisors,1
New Brunswick,   Low Wage,690045 NB INC.,"SAINT JOHN, NB E2L 2H8",6322-Cooks,1
New Brunswick,   Low Wage,Atlantic Star Uniforms 2009 Inc.,"Edmundston, NB E3V 4H4",9446-Industrial sewing machine operators,2
New Brunswick,   Low Wage,Bouctouche Bay Inn Inc.,"Lincoln, NB E3B 9J1",6322-Cooks,2
New Brunswick,   Low Wage,Canada's Best Value Inn,"Woodstock, NB E7M 6B5",6322-Cooks,1
New Brunswick,   Low Wage,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Fish and seafood plant workers,45
New Brunswick,   Low Wage,CARPE DIEM FOOD INC.,"MONCTON, NB E1E 4H8",6322-Cooks,1
New Brunswick,   Low Wage,Corey Craig Ltd,"Moncton, NB, NB E1C 1E3",6311-Food service supervisors,1
New Brunswick,   Low Wage,Diamond House Restaurant Ltd.,"Oromocto, NB E2V 2G9",6322-Cooks,1
New Brunswick,   Low Wage,Dimitri's Souvlaki INC,"Fredericton, NB E3B 1E4",6322-Cooks,1
New Brunswick,   Low Wage,DOWON BROTHERS INC.,"MONCTON, NB E1C 5C4",6322-Cooks,1
New Brunswick,   Low Wage,Elphege & Norbert Leblanc Ltd,"Petit Cap, NB E4N 2E8",9618-Labourers in fish and seafood processing,19
New Brunswick,   Low Wage,Jack's Pizza,"Fredericton, NB E3B 1E4",6322-Cooks,1
New Brunswick,   Low Wage,Keenan Construction Inc.,"bedell, NB E7M 4M7",7271-Carpenters,1
New Brunswick,   Low Wage,KIM'S MART CORPORATION,"MONCTON, NB E1C 2R5",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,KIM'S MART CORPORATION,"MONCTON, NB E1C 2R5",6322-Cooks,1
New Brunswick,   Low Wage,Mitton's Food Service Inc.,"Riverview, NB E1B 3J2",6311-Food service supervisors,2
New Brunswick,   Low Wage,Quispamsis Jungle Foods inc,"miramichi, NB E1V 5Z5",6322-Cooks,1
New Brunswick,   Low Wage,Restaurant la Sagouine,"Bouctouche, NB E4S 3E7",6322-Cooks,1
New Brunswick,   Low Wage,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Fish and seafood plant workers,66
New Brunswick,   Low Wage,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9618-Labourers in fish and seafood processing,53
New Brunswick,   Low Wage,Shippagan Pizza Inc.,"Shippagan, NB E8S 1N6",6322-Cooks,1
New Brunswick,   Low Wage,Tracadie Pizza Inc.,"Tracadie-Sheila,, NB E1X 1G5",6322-Cooks,1
New Brunswick,   Low Wage,Utrade Inc,"Moncton, NB E1C 5W1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
New Brunswick,  Primary Agriculture,624888 N.-B. ltée,"St-Quentin, NB E8A 1N9",8431-General farm workers,2
New Brunswick,  Primary Agriculture,Ferme Bancourt ltée,"St-Quentin, NB E8A 2L3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
New Brunswick,  Primary Agriculture,Hanscome Farms Ltd,"Perth-Andover, NB E7H 4K4",8431-General farm workers,12
New Brunswick,  Primary Agriculture,Irishview Estate Ltd.,"Moncton, NB E1E 0J1",8431-General farm workers,6
New Brunswick,  Primary Agriculture,"Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6",8432-Nursery and greenhouse workers,6
New Brunswick,  Primary Agriculture,Royal Gardens 2012 Ltd.,"Penobsquis, NB E4G 2C5",8432-Nursery and greenhouse workers,18
New Brunswick,  Primary Agriculture,Schenkels Farms Inc,"Whitney, NB E1V 4K4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
New Brunswick,  Primary Agriculture,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8611-Harvesting labourers,1
New Brunswick,  Primary Agriculture,W.A.Farm Ltd.,"Salisbury West, NB E4J 3G9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
