"List of employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011  and business location in 2017 (January-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
Newfoundland and Labrador,    High Wage,Arup Canada Inc.,"St. John's, NL A1B 4M7",0211-Engineering managers,1
,,Avalla Construction Inc.,"St. John's, NL A1E 6A3",7281-Bricklayers,2
,,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",3111-Specialist physicians,1
,,Key Assets NL,"St John's, NL A1C 6E7",4212-Social and community service workers,1
,,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",2131-Civil engineers,1
,,,,2232-Mechanical engineering technologists and technicians,1
,,,,"2273-Deck officers, water transport",3
,,Labrador-Grenfell Health,"Happy Valley - Goose Bay, NL A0P 1C0",3111-Specialist physicians,3
,,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1","8222-Contractors and supervisors, oil and gas drilling and services",2
,,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4","8232-Oil and gas well drillers, servicers, testers and related workers",2
,,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",0711-Construction managers,2
,,,,2154-Land surveyors,1
,,,,7532-Water transport deck and engine room crew,2
,,Technip Canada Limited,"St. John's, NL A1B 0L2","0016-Senior managers - construction, transportation, production and utilities",1
,,,,0711-Construction managers,1
,,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",0811-Managers in natural resources production and fishing,2
,,,,2145-Petroleum engineers,3
,,,,2241-Electrical and electronics engineering technologists and technicians,4
,,,,"2273-Deck officers, water transport",8
,,,,"2274-Engineer officers, water transport",8
,,,,"7202-Contractors and supervisors, electrical trades and telecommunications occupations",2
,,,,7311-Construction millwrights and industrial mechanics,4
,,,,7371-Crane operators,4
,,,,"8222-Contractors and supervisors, oil and gas drilling and services",4
,,,,8231-Underground production and development miners,2
,,,,"8232-Oil and gas well drillers, servicers, testers and related workers",13
,,,,8412-Oil and gas well drilling and related workers and services operators,4
,,,,"8615-Oil and gas drilling, servicing and related labourers",8
,,Virtual Marine Technology Inc.,"St.John's, NL A1B 3N4",1122-Professional occupations in business management consulting,1
,   Low Wage,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",6311-Food service supervisors,1
,,10565 NFLD. Inc.,"Happy Valley-Goose Bay, NL A0P 1C0",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,71036 Newfoundland and Labrador Limited,"Happy Valley Goose Bay, NL A0P 1E0",7322-Motor vehicle body repairers,1
,,BJH Enterprises Inc.,"St. John's, NL A1B 3M7",6322-Cooks,1
,,ELJ Holdings LTD,"Mount Pearl, NL A1N 3C6",4214-Early childhood educators and assistants,1
,,Happy Times Preschool Ltd.,"St. John's, NL A1B 3B3",4214-Early childhood educators and assistants,2
,,HSF Ocean Products Ltd.,"St. John's, NL A1B 3M9",9463-Fish and seafood plant workers,15
,,Mila Foods Inc.,"St John's, NL A1E 1T2",6311-Food service supervisors,1
,,Nails Time Inc.,"St. John's, NL A1E 5T2","6562-Estheticians, electrologists and related occupations",3
,,Newont Limited,"St. John's, NL A1E 2C5",6311-Food service supervisors,1
,,Paradise Daycare 2009 Inc.,"Paradise, NL A1L 2Y1",4214-Early childhood educators and assistants,1
,,Pho Vietnam,"Corner Brook, NL A2H 4W6",6322-Cooks,1
,,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",9463-Fish and seafood plant workers,20
,,Terry's Tents & Shoe Repair Limited,"Happy Valley-Goose Bay, NL A0P 1C0",9446-Industrial sewing machine operators,1
,,Tiffany Village Retirement Residence Partnership,"St. John's, NL A1A 0G1","3413-Nurse aides, orderlies and patient service associates",1
,,Uncle Li Restaurant Inc,"Clarenville, NL A5A 0C3",6322-Cooks,1
,  Primary Agriculture,J & C Sod Farm Ltd,"St.John's, NL A0A 1C0",8432-Nursery and greenhouse workers,3
,,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",8431-General farm workers,10
,,Ocean View Farm,"Bay Bulls, NL A0A 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Rideout's Dairy Inc.,"Cormack, NL A8A 2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Permanent Resident Only,10400 Newfoundland Limited,"St. John's, NL A1A 1V8",6321-Chefs,1
,,10565 NFLD. Inc.,"Happy Valley-Goose Bay, NL A0P 1C0",6311-Food service supervisors,1
,,Ecole Prescolaire Mes Amis Daycare and Preschool Inc.,"St. John's, NL A0A 1J0",4214-Early childhood educators and assistants,1
Prince Edward Island,    High Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,1
,,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",0631-Restaurant and food service managers,1
,,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,15
,,Confederation Centre of the Arts,"Charlottetown, PE C1A 1J1",5135-Actors and comedians,1
,,Health PEI,"Charlottetown, PE C1A 7N8",3111-Specialist physicians,1
,,,,3112-General practitioners and family physicians,1
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,10
,,Wicked Eh?,"Charlottetown, PE C1A 1A5",2283-Information systems testing technicians,1
,   Low Wage,Beach Point Processing Company,"Beach Point, PE C0A 1V0",9463-Fish and seafood plant workers,100
,,Belle River Enterprises Ltd.,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,10
,,Captain Cooke's Seafood Inc.,"Borden-Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,10
,,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Fish and seafood plant workers,46
,,Maplehurst Properties,"Montague, PE C0A 1R0",0632-Accommodation service managers,1
,,"North Lake Fisheries (2013), Inc.","Montague, PE C0A 1R0",9463-Fish and seafood plant workers,60
,,Northern Watters Knitwear Inc.,"Charlottetown, PE C1A 1H9","9442-Weavers, knitters and other fabric making occupations",1
,,PEI Select Tours Inc,"North Rustico, PE C0A 1X0",6531-Tour and travel guides,1
,,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,67
,,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,102
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,18
,,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",9463-Fish and seafood plant workers,16
,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,4
,,Birch Farms Limited,"Summerside, PE C1N 4J9",8431-General farm workers,2
,,Birkentree Holsteins Inc.,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,8
,,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",8431-General farm workers,3
,,Eastern Exporters Ltd,"Souris, PE C0A 2B0",8431-General farm workers,5
,,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-General farm workers,8
,,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",8431-General farm workers,3
,,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,6
,,Jewell's Produce,"York, PE C0A 1P0",8431-General farm workers,11
,,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0",8431-General farm workers,1
,,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-General farm workers,1
,,McCardle Bros,"Kinkora, PE C0B 1N0",8431-General farm workers,4
,,MGS Holdings & Distribution Co. Ltd,"Alberton, PE C0B 1B0",8431-General farm workers,48
,,Newland Farms Inc.,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",8431-General farm workers,3
,,Productions Vegkiss PEI,"Vernon River, PE C0A 2E0",8431-General farm workers,36
,,The Berry Patch,"Tracadie Cross, PE C0A 1T0",8431-General farm workers,6
,,Tiny Acres Holsteins,"Miscouche, PE C0B 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,3
,,van Diepen Produce Ltd,"Morell, PE C0A 1S0",8431-General farm workers,15
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,36
,,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,6
,,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-General farm workers,6
,,Waynecroft Farms,"Miscouche, PE C0B 1T0",8431-General farm workers,1
Nova Scotia,    High Wage,3300983 Nova Scotia Limited,"Saint Peter's, NS B0E 3B0",0632-Accommodation service managers,1
,,Antares Computers Limited,"Bridgewater, NS B4V 2S7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Arbor View Inn,"Lunenburg, NS B0J 2C0",0632-Accommodation service managers,1
,,Bay Side Home,"Barrington, NS B0W 1E0",3012-Registered nurses and registered psychiatric nurses,1
,,Canadiana Pub & Grill Limited,"Halifax, NS B3S 1A2",6332-Bakers,1
,,Cha Baa Thai Restaurant Bedford Ltd.,"Halifax, NS B3J 2J6",6322-Cooks,4
,,Chapman Autobody Ltd,"Halifax, NS B3K 4C2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,6
,,Dalhousie University,"Halifax, NS B3H 4R2",4011-University professors and lecturers,1
,,Deep Down Cleaning Services Ltd.,"Halifax, NS B3S 1B4",6315-Cleaning supervisors,1
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,East Coast Cedar Homes Limited,"Bedford, NS B4A 1E5","0016-Senior managers - construction, transportation, production and utilities",1
,,Gabadi Services Canada Inc.,"Dartmouth, NS B3B 1J4",7295-Floor covering installers,2
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Transport truck drivers,4
,,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",5252-Coaches,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",2
,,,,0211-Engineering managers,1
,,,,0711-Construction managers,1
,,,,0714-Facility operation and maintenance managers,1
,,,,0911-Manufacturing managers,8
,,,,2132-Mechanical engineers,3
,,,,2142-Metallurgical and materials engineers,1
,,,,4021-College and other vocational instructors,1
,,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",3111-Specialist physicians,5
,,Peter Green Hall Children's Centre,"Halifax, NS B3H 2Z9",4214-Early childhood educators and assistants,1
,,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",5252-Coaches,1
,,Saint Mary's University,"Halifax, NS B3H 3C3",4011-University professors and lecturers,1
,,Spectrum Hospitality Canada Inc.,"Halifax, NS B3J 2V1",6321-Chefs,5
,,Suerteksa Canada Inc.,"Halifax, NS B3J 3N2",0911-Manufacturing managers,1
,,,,7235-Structural metal and platework fabricators and fitters,11
,,,,7237-Welders and related machine operators,8
,,Vista Care Communications Services of Canada,"Dartmouth, NS B3B 1C6",7245-Telecommunications line and cable workers,1
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,5
,   Low Wage,2294618 Nova Scotia Ltd.,"Dartmouth, NS B3A 1J9",6322-Cooks,1
,,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",6322-Cooks,3
,,3253587 Nova Scotia Ltd.,"Halifax, NS B4A 1B5",6322-Cooks,3
,,3287893 NS Ltd.,"Halifax, NS B3J 1G5",6322-Cooks,1
,,3290188 NS Limited,"Halifax, NS B3M 3Y7",6322-Cooks,2
,,3294766 Nova Scotia Limited,"Halifax, NS B3J 2K4",6321-Chefs,1
,,3299155 Nova Scotia Limited,"Eastern Passage, NS B3G 1C2",4214-Early childhood educators and assistants,1
,,Advanced Wiring Solutions Inc.,"Fall River, NS B2T 1K6",7247-Cable television service and maintenance technicians,1
,,Aquashell Holdings Inc.,"Wallace, NS B0K 1Y0",9463-Fish and seafood plant workers,16
,,Balodis Incorporated,"Westville, NS B0K 2A0",7511-Transport truck drivers,2
,,Bayers Lake European Farmers Market,"Halifax, NS B3M 2L3",6332-Bakers,1
,,Bitar's Pizza Pasta & Grill Ltd.,"Elmsdale, NS B2S 1A8",6322-Cooks,1
,,Dieter's German Baked Goods & Cafe,"Annapolis Royal, NS B0S 1A0",6332-Bakers,1
,,Doraku Foods Limited,"Halifax, NS B3J 4A2",6322-Cooks,1
,,Hatfield Farm Inc.,"Hammonds Plains, NS B4B 1P4",6322-Cooks,1
,,Ihab Barber Shop,"Halifax, NS B3N 2C4",6341-Hairstylists and barbers,1
,,John's Steak House Limited,"Antigonish, NS B2G 1R6",6322-Cooks,2
,,Keddy Quality Foundations,"Aylesford, NS B0P 1C0",7611-Construction trades helpers and labourers,2
,,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",9463-Fish and seafood plant workers,16
,,Mother's Hand Oriental Food & Grocery,"Halifax, NS B3K 3B6",6211-Retail sales supervisors,1
,,Namar Cuisine Ltd,"Halifax, NS B3L 4N9",6322-Cooks,2
,,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",9463-Fish and seafood plant workers,84
,,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,20
,,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,40
,,Premium Choice Shrimp Ltd.,"Arichat, NS B0E 1A0",9618-Labourers in fish and seafood processing,7
,,Queen Nails,"Sydney, NS B1P 6S9","6562-Estheticians, electrologists and related occupations",1
,,Restaurant Compose,"Annapolis Royal, NS B0S 1A0",6322-Cooks,2
,,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,82
,,Song's Korean Restaurant,"Halifax, NS B3L 1A4",6322-Cooks,2
,,"The Dock Food, Spirits and Ales Ltd","New Glasgow, NS B2H 2K6",6322-Cooks,2
,,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9618-Labourers in fish and seafood processing,10
,,Ye & Zhou Food Company,"Halifax, NS B3L 4P1",6322-Cooks,1
,,ZM Supreme Cleaning Services Limited,"Dartmouth, NS B3A 2B2",6731-Light duty cleaners,2
,  Primary Agriculture,3226198 Nova Scotia Ltd/Vital Berry Farms,"Centreville, NS B0P 1J0",8431-General farm workers,96
,,Afton Hills Farm Limited,"Afton, NS B0H 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,72
,,Apples & Spice Orchards,"Waterville, NS B0P 1V0",8431-General farm workers,6
,,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,167
,,Barteaux Farms,"Annapolis Royal, NS B0S 1A0",8431-General farm workers,5
,,Basinview Farms Ltd,"Canning, NS B0P 1H0",8431-General farm workers,14
,,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,12
,,Bragg Lumber Company,"Collingwood, NS B0M 1E0",8431-General farm workers,5
,,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,13
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,3
,,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,9
,,,,8432-Nursery and greenhouse workers,29
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,9
,,Crisp Growers Inc.,"Wolfville, NS B4P 1J5",8431-General farm workers,12
,,Eisses Farms Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,9
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,4
,,Forest Hills Farms,"Great Village, NS B0M 1L0",8431-General farm workers,12
,,Fuller Brothers,"Avonport, NS B0P 1B0",8431-General farm workers,10
,,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,18
,,G.A.R. Tree Farms Ltd.,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,31
