"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS-WINDSOR, NL A2A 1Y4",3111-Specialist physicians,1
,,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",3111-Specialist physicians,1
,,Empowered Homes Inc.,"St. John's, NL A1B 3X5",6314-Customer and information services supervisors,1
,,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,1
,   Low Wage,LouisGee's Pizza & Donair,"Corner Brook, NL A2H 2Z3",6322-Cooks,2
,,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",6311-Food service supervisors,1
,  Primary Agriculture,J & C Sod Farm Ltd,"Bay Bull, NL A0A 1C0",8431-General farm workers,3
,,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",8431-General farm workers,12
Prince Edward Island,   Low Wage,A & R Adventures Inc.,"Kensington, PE C0B 1M0",6332-Bakers,1
,,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",10
,,Beach Point Processing Company,"Beach Point, PE C0A 1V0",9463-Fish and seafood plant workers,99
,,Belle River Enterprises Ltd.,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,10
,,Captain Cooke's Seafood Inc.,"Borden-Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,16
,,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",6322-Cooks,2
,,"North Lake Fisheries (2013), Inc.","Montague, PE C0A 1R0",9463-Fish and seafood plant workers,46
,,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,15
,,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,102
,,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,24
,,"Xiyuan PEI International Co., Ltd.","Stratford, PE C1B 0B2",0125-Other business services managers,1
,  Primary Agriculture,Birch Farms Limited,"SUMMERSIDE, PE C1N 4J9",8431-General farm workers,6
,,Birkentree Holsteins Inc.,"HUNTER RIVER, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",8431-General farm workers,3
,,Cassialane Holsteins Ltd.,"Freetown, PE C0B 1L0",8431-General farm workers,2
,,Claude McCardle/The Berry Patch,"Tracadie Cross, PE C0A 1T0",8431-General farm workers,6
,,MGS Holdings & Distribution Co. Ltd,"ALBERTON, PE C0B 1B0",8431-General farm workers,48
,,Mol Farms Inc,"Kinkora, PE C0B 1N0",8431-General farm workers,3
,,Productions Vegkiss PEI,"Vernon River, PE C0A 2E0",8431-General farm workers,36
,,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,5
Nova Scotia,    High Wage,Clarke Road Transport Inc.,"Halifax, NS B3S 0B7",7511-Transport truck drivers,7
,,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,10
,,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",7511-Transport truck drivers,10
,,Indo Food Service Ltd,"HALIFAX, NS B3H 4H5",0631-Restaurant and food service managers,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0711-Construction managers,2
,,,,0911-Manufacturing managers,4
,,,,2141-Industrial and manufacturing engineers,1
,,Maple Tree Montesori Limited,"Halifax, NS B3L 2W5",4214-Early childhood educators and assistants,1
,,Open Door Masonry Ltd.,"Waverly, NS B2R 1G4",7281-Bricklayers,2
,,Precision Concrete Services Ltd,"Bedford, NS B4B 1H1",7282-Concrete finishers,3
,,Provincial Woodworkers Limited,"Dartmouth, NS B3B 1X9",7272-Cabinetmakers,1
,,Queen Nails,"Sydney, NS B1P 6S9","6562-Estheticians, electrologists and related occupations",2
,,Suerteksa Canada Inc.,"Halifax, NS B3J 3N2",7235-Structural metal and platework fabricators and fitters,6
,,,,7237-Welders and related machine operators,13
,,Track Group Analytics Ltd.,"Bedford, NS B4A 3Y4","0013-Senior managers - financial, communications and other business services",1
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",5241-Graphic designers and illustrators,1
,   Low Wage,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",6322-Cooks,3
,,3261369 Nova Scotia Ltd.,"Bridgewater, NS B4V 2V6","6313-Accommodation, travel, tourism and related services supervisors",1
,,3261998 NS Ltd,"TRURO, NS B2N 1K8",6311-Food service supervisors,1
,,3274912 NS Limited,"Timberlea, NS B3T 1B4",4214-Early childhood educators and assistants,1
,,3279061 Nova Scotia Limited,"Halifax, NS B3J 1E5",6322-Cooks,3
,,Aquashell Holdings Inc.,"Wallace, NS B0K 1Y0",9463-Fish and seafood plant workers,25
,,Crystal Day Nursery Limited,"Dartmouth, NS B3A 4R9",4214-Early childhood educators and assistants,1
,,Holloway Lodging LP - multiple locations,"HALIFAX, NS B3S 0H9",6322-Cooks,2
,,Laurel's Lake Residence Inc.,"Dartmouth, NS B2W 0G6","3413-Nurse aides, orderlies and patient service associates",2
,,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",9618-Labourers in fish and seafood processing,15
,,Nio Wholesale Ltd o/a Bento Sushi,"Bedford, NS B4A 0G6",6322-Cooks,1
,,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",9463-Fish and seafood plant workers,30
,,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd.,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,44
,,Point Pleasant Child Care Centre,"Halifax, NS B3H 1B9",4214-Early childhood educators and assistants,2
,,Randy's Pizza and Donair,"Halifax, NS B3K 4B6",6322-Cooks,2
,,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,30
,,University Children's Centre Society,"HALIFAX, NS B3H 4R2",4214-Early childhood educators and assistants,2
,,Ye & Zhou Food Company,"Halifax, NS B3L 4P1",6322-Cooks,2
,  Primary Agriculture,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,98
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,49
,,Apple Lane Farm Inc,"MORRISTOWN, NS B0P 1E0",8431-General farm workers,2
,,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,167
,,Basinview Farms Ltd,"CANNING, NS B0P 1H0",8431-General farm workers,14
,,Beech Hill Farm Ltd,"PRINCEPORT, NS B6L 1R2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Bekkers Farms Incorporated,"ANTIGONISH, NS B2G 2L2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Berfelo Hog Farms Ltd.,"Stewiacke, NS B0N 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Birchleigh Farms Ltd,"ROCKLAND, NS B0P 1E0",8431-General farm workers,12
,,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,12
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,4
,,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,22
