"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,2
Newfoundland and Labrador,    High Wage,Codroy Valley Trucking LTD,"Doyles, NL A0N 1J0",7511-Transport truck drivers,2
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,3
Newfoundland and Labrador,    High Wage,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",5134-Dancers,1
Newfoundland and Labrador,   Low Wage,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",6322-Cooks,2
Newfoundland and Labrador,   Low Wage,Burton's Adventure Ltd,"St John's, NL A1H 1A1",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",6322-Cooks,1
Newfoundland and Labrador,   Low Wage,K and S Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",6322-Cooks,2
Newfoundland and Labrador,   Low Wage,Mercer Investments Ltd,"Conception Bay South, NL A1X 7T4",6322-Cooks,1
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, NL A0N 1X0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",6
Newfoundland and Labrador, Global Talent Stream,HeyOrca Inc.,"St. John's, NL A1B 3P9",2173-Software engineers and designers,1
Newfoundland and Labrador, Global Talent Stream,HeyOrca Inc.,"St. John's, NL A1B 3P9",2174-Computer programmers and interactive media developers,1
Prince Edward Island,    High Wage,Prime Natural Foods Inc.,"Charlottetown, PE C1A 0C9",0621-Retail and wholesale trade managers,1
Prince Edward Island,   Low Wage,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",11
Prince Edward Island,   Low Wage,Mr. Sushi Inc,"Charlottetown, PE C1A 4K6",6322-Cooks,1
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Arlington Orchards Inc,"arlington, PE C0B 1Y0",8431-General farm workers,3
Prince Edward Island,  Primary Agriculture,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,D & E Pork Inc.,"Albany, PE C0B 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,D & E Pork Inc.,"Albany, PE C0B 1A0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,5
Prince Edward Island,  Primary Agriculture,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,King's County Pork Inc.,"Montague, PE C0A 1R0",8431-General farm workers,1
Prince Edward Island,  Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-General farm workers,22
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,5
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,1
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,9
Prince Edward Island,  Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,10
Nova Scotia,    High Wage,Alzeer Holdings Inc.,"Halifax, NS B3J 3K3",6322-Cooks,1
Nova Scotia,    High Wage,Colby House Investments Inc.,"Halifax, NS B3J 3E5",0632-Accommodation service managers,1
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,6
Nova Scotia,    High Wage,Doraku Foods LTD,"Dartmouth, NS B2W 2L7",0631-Restaurant and food service managers,1
Nova Scotia,    High Wage,GLK Natural Inc.,"Halifax, NS B3J 3E5",0621-Retail and wholesale trade managers,1
Nova Scotia,    High Wage,Global Spatial Technology Solutions Inc.,"Dartmouth, NS B2Y 4M9",2171-Information systems analysts and consultants,1
Nova Scotia,    High Wage,Indo Food Service Ltd.,"Halifax, NS B3J 3T1",0631-Restaurant and food service managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",1122-Professional occupations in business management consulting,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","2148-Other professional engineers, n.e.c.",1
Nova Scotia,    High Wage,Slumber Inn Ltd.,"New Minas, NS B4N 3K8","1211-Supervisors, general office and administrative support workers",1
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Nova Scotia,    High Wage,Techmania Inc.,"Cole Harbour, NS B2V 1E7","0013-Senior managers - financial, communications and other business services",1
Nova Scotia,   Low Wage,3027059 Nova Scotia Limited,"Elmsdale, NS B2S 1K1",6322-Cooks,1
Nova Scotia,   Low Wage,3091914 NS LTD,"HALIFAX, NS B3K 1H8",6315-Cleaning supervisors,1
Nova Scotia,   Low Wage,3228133novascotia ltd.,"Yarmouth, NS B5A 2T5",6211-Retail sales supervisors,1
Nova Scotia,   Low Wage,3253587 Nova Scotia Limited,"Bedford, NS B4A 1B5",6322-Cooks,3
Nova Scotia,   Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9618-Labourers in fish and seafood processing,7
Nova Scotia,   Low Wage,3315886 Nova Scotia Limited,"Halifax, NS B3J 1N9","6562-Estheticians, electrologists and related occupations",1
Nova Scotia,   Low Wage,3318503 Nova Scotia Limited o/a Greco Antigonish,"Antigonish, NS B2G 1R6",6322-Cooks,2
Nova Scotia,   Low Wage,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6312-Executive housekeepers,1
Nova Scotia,   Low Wage,3324608 novascotia limited,"halifax, NS B3K 1Z7",6311-Food service supervisors,1
Nova Scotia,   Low Wage,3327191 Nova Scotia Limited,"Upper Tantallon, NS B3Z 1E2",6322-Cooks,1
Nova Scotia,   Low Wage,8720568 CANADA INC.,"DARTMOUTH, NS B2W 2N3",6322-Cooks,2
Nova Scotia,   Low Wage,Apple Valley Foods Inc,"Kentville, NS B4N 3V7","9617-Labourers in food, beverage and associated products processing",24
Nova Scotia,   Low Wage,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cooks,1
Nova Scotia,   Low Wage,Clarks Harbour Seafood Ltd,"Clarks Harbour, NS B0W 1P0",9618-Labourers in fish and seafood processing,15
Nova Scotia,   Low Wage,Curtmar Farms Limited,"Fort Ellis, NS B0N 2J0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Nova Scotia,   Low Wage,Farmhouse Bakery Ltd.,"Falmouth, NS B0P 1L0",6332-Bakers,2
Nova Scotia,   Low Wage,Little Picasso Art Centre Ltd,"Halifax, NS B3M 4N7",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,Merex Incorporated,"Halifax, NS B3H 4N4",9463-Fish and seafood plant workers,2
Nova Scotia,   Low Wage,Naji Fine Foods Ltd.,"Halifax, NS B3S 1P9",6322-Cooks,3
Nova Scotia,   Low Wage,Slumber Inn Ltd.,"New Minas, NS B4N 3K8",6311-Food service supervisors,1
Nova Scotia,   Low Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Nova Scotia,   Low Wage,Song's Korean Restaurant,"Halifax, NS B3L 1A4",6322-Cooks,1
Nova Scotia,   Low Wage,STAT CARE HEALTH SERVICES INC.,"Halifax, NS B3K 4S6","3413-Nurse aides, orderlies and patient service associates",1
Nova Scotia,   Low Wage,Yellow Leaf Restaurant LTD,"Kingston, NS B0P 1R0",6322-Cooks,1
Nova Scotia,  Primary Agriculture,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,28
Nova Scotia,  Primary Agriculture,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8611-Harvesting labourers,6
Nova Scotia,  Primary Agriculture,Barteaux Farms Ltd,"Moschelle, NS B0S 1A0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Beech Hill Farm Ltd,"Princeport, NS B6L 1R2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Nova Scotia,  Primary Agriculture,Best Farms Ltd,"Woodville, NS B0P 1V0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,17
Nova Scotia,  Primary Agriculture,Charles Keddy Farms Limited,"Kentville, NS B4N 3V7",8431-General farm workers,45
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-General farm workers,49
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,26
Nova Scotia,  Primary Agriculture,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Nursery and greenhouse workers,20
Nova Scotia,  Primary Agriculture,Evangeline Orchards Limited,"Port Williams, NS B0P 1T0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,22
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,14
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,2
Nova Scotia,  Primary Agriculture,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,McConnell-Gordon Estates Ltd.,"Wolfville, NS B4P 2R1",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, NS B0P 1E0",8431-General farm workers,50
Nova Scotia,  Primary Agriculture,Power Farms Inc.,"RR#2 Canning, NS B0P 1H0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,50
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8432-Nursery and greenhouse workers,2
Nova Scotia,  Primary Agriculture,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Nursery and greenhouse workers,14
Nova Scotia,  Primary Agriculture,T.K. Palmer & Sons Contracting Inc.,"Kentville, NS B0P 1C0",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Thiessen Farm Ltd.,"Grafton, NS B0P 1V0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8611-Harvesting labourers,21
Nova Scotia,  Primary Agriculture,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8431-General farm workers,9
Nova Scotia,  Primary Agriculture,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8611-Harvesting labourers,4
Nova Scotia,  Primary Agriculture,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-General farm workers,3
Nova Scotia, Global Talent Stream,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2175-Web designers and developers,2
Nova Scotia, Global Talent Stream,Sona Nanotech Inc.,"Halifax, NS B3J 3R7","0013-Senior managers - financial, communications and other business services",1
New Brunswick,    High Wage,661989 NB Limited,"Saint John, NB E2J 2S6",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",6322-Cooks,2
New Brunswick,    High Wage,Ayla Construction & Contracting (New Brunswick),"Saint John, NB E2L 4V1","0016-Senior managers - construction, transportation, production and utilities",1
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,Couche-Tard Inc,"Moncton, NB E1C 5Y6",6211-Retail sales supervisors,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Food service supervisors,2
New Brunswick,    High Wage,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Food service supervisors,1
New Brunswick,    High Wage,Midland Transport Limited,"Dieppe, NB E1A 6X4","0016-Senior managers - construction, transportation, production and utilities",1
New Brunswick,    High Wage,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Transport truck drivers,1
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Transport truck drivers,2
New Brunswick,    High Wage,OM SHREE SAI BABA INVESTMENT LTD.,"MIRAMICHI, NB E1V 2S6",1221-Administrative officers,1
New Brunswick,    High Wage,Quality Transportation services NB ltd,"Jacksonville, NB E7M 3S1",7511-Transport truck drivers,5
New Brunswick,    High Wage,Regional Health Authority B,"Moncton, NB E1C 6Z8",3111-Specialist physicians,1
New Brunswick,    High Wage,"Synoptek Canada, Inc.","Saint John, NB E2L 1G2",2171-Information systems analysts and consultants,1
New Brunswick,    High Wage,Water Blasting & Vacuums Services inc.,"Edmundston, NB E3V 3K5",7322-Motor vehicle body repairers,1
New Brunswick,    High Wage,World Wide Atlantic Freight Inc,"Scoudouc, NB E4P 3N6",7511-Transport truck drivers,5
New Brunswick,   Low Wage,502005 NB Limited,"Woodstock, NB E7M 5G5",6322-Cooks,1
New Brunswick,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",6312-Executive housekeepers,1
New Brunswick,   Low Wage,618479 NB INc,"Bouctouche, NB E4S 3J7",6311-Food service supervisors,1
New Brunswick,   Low Wage,661989 NB Limited,"Saint John, NB E2J 2S6",6311-Food service supervisors,2
New Brunswick,   Low Wage,662053 NB Inc.,"Saint John, NB E2P 1K2",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,671348 N.B. INC.,"MONCTON, NB E1C 1E3",6322-Cooks,1
New Brunswick,   Low Wage,679283 NB INC.,"RIVERVIEW, NB E1B 0J6",6322-Cooks,1
New Brunswick,   Low Wage,689773 Nb Ltd.,"Oromocto, NB E2V 4R3",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,690944 NB INC.,"MONCTON, NB E1C 1G1",6311-Food service supervisors,1
New Brunswick,   Low Wage,697131 NB INC.,"MONCTON, NB E1G 2H9",6322-Cooks,1
New Brunswick,   Low Wage,698075 NB Ltd.,"Shediac, NB E4P 2G1",6322-Cooks,1
New Brunswick,   Low Wage,699756 NB INC.,"Moncton, NB E1G 1A4",6322-Cooks,1
New Brunswick,   Low Wage,701664 NB Inc,"Dieppe, NB E1A 1P2",6311-Food service supervisors,1
New Brunswick,   Low Wage,702326 NB Inc.,"Cap-Pele, NB E4N 1C9",6322-Cooks,1
New Brunswick,   Low Wage,706806 NB Ltd.,"Moncton, NB E1C 1E4",6322-Cooks,1
New Brunswick,   Low Wage,707326 NB Inc.,"Moncton, NB E1G 1A5",6322-Cooks,1
New Brunswick,   Low Wage,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, NB E1G 2T5",7611-Construction trades helpers and labourers,2
New Brunswick,   Low Wage,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, NB E1G 2T5",8612-Landscaping and grounds maintenance labourers,1
