"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,A-NDT Inspections Limited,"ST. JOHNS'S, NL A1B 4N8","0016-Senior managers - construction, transportation, production and utilities",1
,,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",3111-Specialist physicians,2
,,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",6211-Retail sales supervisors,1
,,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9","2274-Engineer officers, water transport",1
,   Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,20
,,Bugden Enterprises Inc,"Conception Bay South, NL A1W 3A3",6322-Cooks,1
,,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",6211-Retail sales supervisors,11
,,J. Co Holdings Inc.,"St. John's, NL A1C 2A5",6322-Cooks,2
,,Lolo's Investments,"Conception Bay South, NL A1W 3A4",6322-Cooks,2
,,Nails Time Inc.,"St. John's, NL A1E 5T2","6562-Estheticians, electrologists and related occupations",3
,,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",6322-Cooks,1
,  Primary Agriculture,Ashland Farms Inc.,"Cormack, NL A8A 2M9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Birdhouse Garden Market Inc.,"HAPPY VALLEY - GOOSE BAY, NL A0P 1E0",8432-Nursery and greenhouse workers,2
,,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Lester's Dairy Farm,"St. John's, NL A1E 6J4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Viking Fur Inc,"Cavendish, NL A0B 1J0",8431-General farm workers,2
,,Woodland Farms Inc.,"GOULDS, NL A1S 1G7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,25
,,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,15
,   Low Wage,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",0631-Restaurant and food service managers,1
,,Kildare Fisheries Ltd,"ALBERTON, PE C0B 1B0",9463-Fish and seafood plant workers,22
,,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",9463-Fish and seafood plant workers,25
,,Zion Development,"Charlottetown, PE C1A 4T8","4412-Home support workers, housekeepers and related occupations",1
,  Primary Agriculture,Arlington Orchards Ltd.,"ARLINGTON, PE C0B 1Y0",8431-General farm workers,4
,,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",0822-Managers in horticulture,2
,,,,8432-Nursery and greenhouse workers,3
