"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS-WINDSOR, NL A2A 1Y4",3111-Specialist physicians,1
,,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",3111-Specialist physicians,2
,,Fugro Canada Corp,"ST. JOHN'S, NL A1B 3X2","2273-Deck officers, water transport",10
,,,,"2274-Engineer officers, water transport",10
,,,,7242-Industrial electricians,4
,,,,7311-Construction millwrights and industrial mechanics,4
,,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Labrador-Grenfell Health,"Happy Valley-Goose Bay, NL A0P 1C0",3111-Specialist physicians,1
,,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,1
,   Low Wage,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cooks,5
,,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,40
,,CBS Foods Ltd,"CONCEPTION BAY SOUTH, NL A1W 3A6",6322-Cooks,2
,,East to West Investments Inc.,"Corner Brook, NL A2H 5M7",6322-Cooks,1
,,Fugro Canada Corp,"ST. JOHN'S, NL A1B 3X2",1522-Storekeepers and partspersons,2
,,Jason Thistle Holdings o/a Avis/Budget Rental,"HAPPY VALLEY-GOOSE BAY, NL A0P 1E0",6421-Retail salespersons,1
,,Terra Vista Ltd.,"GLOVERTOWN, NL A0G 2L0",9618-Labourers in fish and seafood processing,12
,,Wing'n It Kenmount,"St. John's, NL A1B 3M7",6322-Cooks,1
,  Primary Agriculture,Ashland Farms Inc.,"Cormack, NL A8A 2M9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,3
, Global Talent Stream,Verafin Inc.,"ST. JOHN'S, NL A1A 0L9",2174-Computer programmers and interactive media developers,10
Prince Edward Island,    High Wage,Health PEI,"Charlottetown, PE C1A 7N8",3111-Specialist physicians,1
,,Splendid Essence Restaurant Inc.,"Charlottetown, PE C1A 4R9",6321-Chefs,1
,,UNI Inc.,"CHARLOTTETOWN, PE C1A 5N8","1123-Professional occupations in advertising, marketing and public relations",1
