"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,4
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3112-General practitioners and family physicians,1
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3141-Audiologists and speech-language pathologists,1
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,3
Newfoundland and Labrador,    High Wage,Kvaerner Canada Limited,"St. John's, NL A1C 6C9",0731-Managers in transportation,1
Newfoundland and Labrador,    High Wage,Kvaerner Canada Limited,"St. John's, NL A1C 6C9","8222-Contractors and supervisors, oil and gas drilling and services",5
Newfoundland and Labrador,    High Wage,Maersk Supply Service Canada Ltd.,"St. John's, NL A1E 0E4","2273-Deck officers, water transport",2
Newfoundland and Labrador,    High Wage,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,2
Newfoundland and Labrador,    High Wage,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3112-General practitioners and family physicians,1
Newfoundland and Labrador,   Low Wage,3T's Limited,"Woody Point, NL A0K 1P0",9618-Labourers in fish and seafood processing,10
Newfoundland and Labrador,   Low Wage,BENNETT STREET DAYCARE LTD,"Paradise, NL A1L 2Y1",4214-Early childhood educators and assistants,1
Newfoundland and Labrador,   Low Wage,Terra Vista Ltd.,"Glovertown, NL A0G 2L0",9618-Labourers in fish and seafood processing,10
Newfoundland and Labrador,  Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Newfoundland and Labrador,  Primary Agriculture,Miao's Holding Inc.,"St. John's, NL A1H 0M1",8431-General farm workers,4
Newfoundland and Labrador,  Primary Agriculture,N&N Farm Limited,"Cormack, NL A8A 2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Newfoundland and Labrador,  Primary Agriculture,Sunrise Dairy Ltd,"Musgravetwon, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,    High Wage,9321624 CANADA INC.,"CHARLOTTETOWN, PE C1A 6X8",3231-Opticians,1
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",7511-Transport truck drivers,10
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",7511-Transport truck drivers,8
Prince Edward Island,   Low Wage,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",5
Prince Edward Island,   Low Wage,Blue Mussel Cafe Inc,"North Rustico, PE C0A 1X0",0631-Restaurant and food service managers,1
Prince Edward Island,   Low Wage,By the Water Shellfish (2012) Inc,"Borden Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,14
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,7
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Birkentree Holsteins inc,"Hunter River, PE C0A 1N0",8431-General farm workers,3
Prince Edward Island,  Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8432-Nursery and greenhouse workers,9
Prince Edward Island,  Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,12
Prince Edward Island,  Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,41
Prince Edward Island,  Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,4
Nova Scotia,    High Wage,11266047 Canada Inc.,"Halifax, NS B3M 2J8",7511-Transport truck drivers,5
Nova Scotia,    High Wage,Clearwater Ocean Prawns Venture,"Lunenberg, NS B0J 2C0",7242-Industrial electricians,1
Nova Scotia,    High Wage,CONNORS TRANSFER LIMITED,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,10
