"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions
Newfoundland and Labrador,    High Wage,Avalla Construction Inc.,"St. John's, NL A1E 6A3",7281-Bricklayers,1
,,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",3111-Specialist physicians,1
,   Low Wage,10464 Newfoundland Ltd.,"St. John's, NL A1B 4J9",6322-Cooks,2
,,HSF Ocean Products Ltd.,"St. John's, NL A1B 3M9",9463-Fish and seafood plant workers,6
,,Newfoundland Multi-Foods Limited,"HAPPY VALLEY - GOOSE BAY, NL A0P 1C0",6421-Retail salespersons,1
,,Z.P. Food Services Ltd.,"ST. JOHN'S, NL A1C 6E6",7452-Material handlers,1
,  Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Lester's Dairy Farm,"St. John's, NL A1E 6J4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,6
,,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,25
,,Prince Freight Lines Inc.,"Wellington, PE C0B 2E0",7511-Transport truck drivers,2
,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6513-Food and beverage servers,1
,,A & R Adventures Inc,"Kensington, PE C0B 1M0",6421-Retail salespersons,1
,,Atlantic Beef Products Inc.,"ALBANY, PE C0B 1A0",9463-Fish and seafood plant workers,10
,,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Fish and seafood plant workers,70
,,King's BBQ & Chinese Food Ltd.,"Charlottetown, PE C1E 1E7",6322-Cooks,2
,  Primary Agriculture,100556 PEI Inc. / GWR Visser Farms,"VERNON BRIDGE, PE C0A 2E0",8431-General farm workers,6
,,7035233 Canada Inc o/a IP co,"Mount Stewart, PE C0A 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,10
,,Claude McCardle/The Berry Patch,"Tracadie Cross, PE C0A 1T0",8431-General farm workers,1
