"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions
Newfoundland and Labrador,    High Wage,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,2
Newfoundland and Labrador,    High Wage,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,Jump Academy of Dance Inc.,"CLARENVILLE, NL A5A 1K7",5134-Dancers,1
Newfoundland and Labrador,    High Wage,Labrador-Grenfell Health,"HAPPY VALLEY-GOOSE BAY, NL A0P 1C0",3111-Specialist physicians,1
Newfoundland and Labrador,    High Wage,Oceanex Inc.,"St. John's, NL A1C 1K4","0016-Senior managers - construction, transportation, production and utilities",1
Newfoundland and Labrador,    High Wage,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",5134-Dancers,1
Newfoundland and Labrador,    High Wage,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,1
Newfoundland and Labrador,   Low Wage,A. & E. Jewelers Ltd.,"MOUNT PEARL, NL A1N 4W3","6344-Jewellers, jewellery and watch repairers and related occupations",1
Newfoundland and Labrador,   Low Wage,Burton's Adventure Ltd. o/a Dairy Queen,"LA SCIE, NL A0K 3M0",6322-Cooks,2
Newfoundland and Labrador,   Low Wage,K and S Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",6322-Cooks,2
Newfoundland and Labrador,   Low Wage,TORBAY FUN FOODS LTD,"ST. JOHN'S, NL A1A 5B2",,2
Newfoundland and Labrador,  Primary Agriculture,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",8431-General farm workers,2
Newfoundland and Labrador,  Primary Agriculture,Sunrise Dairy Ltd,"Musgravetwon, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Newfoundland and Labrador, Global Talent Stream,Verafin Inc.,"ST. JOHN'S, NL A1A 0L9",2174-Computer programmers and interactive media developers,9
Prince Edward Island,    High Wage,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",7511-Transport truck drivers,15
Prince Edward Island,    High Wage,Furrow Creative Ltd,"CHARLOTTETOWN, PE C1E 0E2","5131-Producers, directors, choreographers and related occupations",1
Prince Edward Island,    High Wage,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0",7271-Carpenters,7
Prince Edward Island,    High Wage,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0",7291-Roofers and shinglers,6
Prince Edward Island,    High Wage,Prince Freight Lines Inc.,"Wellington, PE C0B 2E0",7511-Transport truck drivers,2
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",7511-Transport truck drivers,20
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,1
Prince Edward Island,   Low Wage,Atlantic Beef Products Inc.,"ALBANY, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",10
Prince Edward Island,   Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",6322-Cooks,2
Prince Edward Island,   Low Wage,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Fish and seafood plant workers,75
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,20
Prince Edward Island,   Low Wage,Taste of India,"Charlottetown, PE C1A 1N4",6322-Cooks,1
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,1
Prince Edward Island,  Primary Agriculture,7035233 Canada Inc.,"Mount Stewart, PE C0A 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Arlington Orchards Ltd.,"ARLINGTON, PE C0B 1Y0",8611-Harvesting labourers,6
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",8432-Nursery and greenhouse workers,16
Prince Edward Island,  Primary Agriculture,FORTUNE BRIDGE FARMS,"SOURIS, PE C0A 2B0",8431-General farm workers,5
Prince Edward Island,  Primary Agriculture,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Jewell's Produce,"York, PE C0A 1P0",8431-General farm workers,7
Prince Edward Island,  Primary Agriculture,McCardle Bros.,"Kinkora, PE C0B 1N0",8431-General farm workers,4
Prince Edward Island,  Primary Agriculture,Mol Farms Inc,"Kinkora, PE C0B 1N0",8431-General farm workers,3
Prince Edward Island,  Primary Agriculture,Ponds Edge Farm,"Little Pond, PE C0A 2B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Prince Edward Island,  Primary Agriculture,Power Line Pork Inc.,"ALBANY, PE C0B 1A0",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,2
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,6
Prince Edward Island,  Primary Agriculture,W.P.Griffin Inc,"ELMSDALE, PE C0B 1K0",8431-General farm workers,13
Nova Scotia,    High Wage,10432423 Canada Limited,"HALIFAX, NS B3J 3R7",2173-Software engineers and designers,1
Nova Scotia,    High Wage,3289828 Nova Scotia Limited o/a CAPITAL AUTO,"lower sackville, NS B4C 2N1",7322-Motor vehicle body repairers,1
Nova Scotia,    High Wage,Collaborate It Solutions Inc.,"Halifax, NS B3J 3N2",2171-Information systems analysts and consultants,1
Nova Scotia,    High Wage,Connors Transfer Limited,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,12
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Dalhousie University,"HALIFAX, NS B3H 4R2",0421-Administrators - post-secondary education and vocational training,1
Nova Scotia,    High Wage,Dalhousie University,"HALIFAX, NS B3H 4R2",4011-University professors and lecturers,2
Nova Scotia,    High Wage,Halifax Port Authority,"Halifax, NS B3H 4P8","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Halterm Container Terminal Limited Partnership,"Halifax, NS B3J 2X1",0211-Engineering managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2173-Software engineers and designers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0113-Purchasing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0211-Engineering managers,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","2148-Other professional engineers, n.e.c.",2
Nova Scotia,    High Wage,Mr. Rooter Plumbing,"Middle Sackville, NS B4E 3A8",7251-Plumbers,1
Nova Scotia,    High Wage,REVENUEROCKET - ONLINE MARKETING SOLUTIONS INC.,"HALIFAX, NS B3J 3E5","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Sattva Food,"HALIFAX, NS B3K 3G9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Nova Scotia,    High Wage,Seascape Building Maintenance Inc.,"LUCASVILLE, NS B4B 1R8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Nova Scotia,    High Wage,St. Francis Xavier University,"ANTIGONISH, NS B2G 2W5",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2172-Database analysts and data administrators,1
Nova Scotia,    High Wage,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2174-Computer programmers and interactive media developers,4
Nova Scotia,    High Wage,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",5241-Graphic designers and illustrators,2
Nova Scotia,   Low Wage,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",6322-Cooks,3
Nova Scotia,   Low Wage,3253587 Nova Scotia Ltd. o/a Thai Ivory Cuisine,"Halifax, NS B4A 1B5",6322-Cooks,2
Nova Scotia,   Low Wage,3274912 Nova Scotia Limited,"Timberlea, NS B3T 1B4",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,A & D Services Ltd.,"New Minas, NS B4N 3K9",6322-Cooks,2
Nova Scotia,   Low Wage,Blue Elephant Thai Restaurant,"Bedford, NS B3M 0G2",6322-Cooks,1
Nova Scotia,   Low Wage,Doraku Foods LTD,"Dartmouth, NS B2W 2L7",6322-Cooks,1
Nova Scotia,   Low Wage,Fung Lum Restaurant Limited,"BEDFORD, NS B4A 4L5","6711-Food counter attendants, kitchen helpers and related support occupations",1
Nova Scotia,   Low Wage,Helen's Family Barbershop Ltd.,"HALIFAX, NS B3K 5N6",6341-Hairstylists and barbers,1
Nova Scotia,   Low Wage,Holloway Lodging LP,"HALIFAX, NS B3S 0H9",6731-Light duty cleaners,9
Nova Scotia,   Low Wage,I.L.MACISAAC INVESTMENTS INC.,"bridgewater, NS B4V 2S7",6311-Food service supervisors,1
Nova Scotia,   Low Wage,Jubilee Road Children's Centre,"HALIFAX, NS B3H 2E8",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0",9531-Boat assemblers and inspectors,3
Nova Scotia,   Low Wage,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0","9535-Plastic products assemblers, finishers and inspectors",3
Nova Scotia,   Low Wage,Little Picasso Art Centre Ltd.o/a Little Picasso Daycare & Art Centre,"HALIFAX, NS B3M 4N7",4214-Early childhood educators and assistants,1
Nova Scotia,   Low Wage,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cooks,1
Nova Scotia,   Low Wage,Papa Marios Pizza Limited,"HALIFAX, NS B3L 4V9",6322-Cooks,1
Nova Scotia,   Low Wage,Sahla Thai Limited,"Truro, NS B2N 1G7",6322-Cooks,1
Nova Scotia,  Primary Agriculture,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,22
Nova Scotia,  Primary Agriculture,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8611-Harvesting labourers,6
Nova Scotia,  Primary Agriculture,Birchleigh Farms Ltd,"ROCKLAND, NS B0P 1E0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Bragg Lumber Company,"Collingwood, NS B0M 1P0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,Charles Keddy Farms Limited,"KENTVILLE, NS B4N 3V7",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-General farm workers,20
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,High Point Orchards Ltd.,"KENTVILLE, NS B4N 3V7",8431-General farm workers,5
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,5
Nova Scotia,  Primary Agriculture,J&L Oostvogels Farms Inc.,"Antigonish, NS B2G 2J1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Jost Vineyards Limited,"NORTH SHORE (MALAGASH), NS B0K 1E0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,MacGregor Dairy Farm Ltd.,"Churchville, NS B0K 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,  Primary Agriculture,Mahoney's Evergreens L.P.,"East Dalhousie, NS B0R 1H0",8432-Nursery and greenhouse workers,6
Nova Scotia,  Primary Agriculture,Noggins Corner Farm II Ltd.,"Greenwich, NS B4P 2R2",8431-General farm workers,11
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Canning, NS B0P 1H0",8431-General farm workers,5
Nova Scotia,  Primary Agriculture,Starr Best Farms,"Woodville, NS B0P 1V0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,46
Nova Scotia,  Primary Agriculture,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,1
Nova Scotia,  Primary Agriculture,Stokdijk Greenhouses Limited,"Beaver Brook, NS B6L 1H3",8432-Nursery and greenhouse workers,12
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-General farm workers,7
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8611-Harvesting labourers,6
