"Employers who have requested a Labour Market Impact Assessment (LMIA) and were issued a negative LMIA between June 20 and December 31, 2014 inclusively, by province/territory ",,
Newfoundland and Labrador,,
Employer ,Address,Positions Requested
Central Health Authority,"50 Union Street, Grand Falls-Windsor, NL  A2A 2E1",4
Jill Dreaddy Danceco,"73 Waterford Bridge Road, St. John's, NL  A1E 1C5",2
Labrador-Grenfell Regional Health Authority,"P.O. Box 7000, Stn C, Happy Valley - Goose Bay, NL  A0P 1C0",1
Swiss Chalet,"75 Kelsey Drive, St. John's, NL  A1B 0C7",1
Transocean Canada Drilling Services,"Kenmount Business Centre, Suite 302, St. John's, NL  A1B 3V7",1
Prince Edward Island,,
Employer ,Address,Positions Requested
Confederation Cove Mussel Company Ltd.,"10 Borden Avenue, Borden-Carleton, PE  C0B 1K0",3
HZPC Americas Corp.,"19 Regis Duffy Drive, Charlottetown, PE  C1E 0K5",1
Pedro's Island Eatery,"11 York Point Road, Cornwall, PE  C0A 1H0",1
Nova Scotia,,
Employer ,Address,Positions Requested
Big Stop Restaurant Truro Heights,"1660 Highway 1, Falmouth, NS  B0P 1L0",1
Blue Ocean Contact Centers,"7051 Bayers Road, Suite 400, Halifax, NS  B3L 4V2",1
Bruce Automotive Group,"394 Main Street, Middleton, NS  B0S 1P0",1
Cape Breton District Health Authority,"1482 George Street, Sydney, NS  B1P 1P3",1
English Canada World Org.,"1190 Barrington Street, Halifax, NS  B3H 2R4",1
Enterprise Offshore Crewing Ltd.,"206-11 Morris Drive, Darmouth, NS  B3H 1M2",1
Gem Health Care,"1046 Barrington Street, 3rd Floor, Halifax, NS  B3H 2R1",1
GoodLeaf Community Farms Ltd.,"173 Dr. Bernie MacDonald Drive, Bible Hill, NS  B6L 2H5",1
Grace Note Child Care Centre,"7071 Bayers Road, Suite 264, Halifax, NS  B3L 2C2",1
Guysborough Antigonish Strait Health Authority,"25 Bay Street, Antigonish, NS  B2G 2G5",1
Mountain Lea Lodge,"170 Church Street, RR 1, Bridgetown, NS  B0S 1C0",1
Nu-Air Ventilation Systems Inc.,"P.O. Box 2758, 16 Nelson Street, Windsor, NS  B0N 2T0",1
Port Hawkesbury Paper LP,"P.O. Box 9500, Port Hawkesbury, NS  B9A 1A1",1
Showcase Hair Design,"5982 Spring Garden Road, Halifax, NS  B3H 1Y7",1
New Brunswick,,
Employer ,Address,Positions Requested
Apple Blossom Florist,"170 Main Street, Fredericton, NB  E3A 1C8",1
Coast Tire & Auto Service Ltd.,"130 Somerset Street, Suite 150, Saint John, NB  E2K 2X4",1
Ferme Bourgeois Farms Inc.,"1209 Principale Street, Memramcook, NB  E4K 2S6",3
Gable Enterprises Ltd.,"1006 Route 124, Norton, NB  E5T 1X3",1
Horizon Health Network,"135 Macbeath Avenue, Moncton, NB  E1C 6Z8",1
Université de Moncton,"165 Massey Avenue, Moncton, NB  E1A 3E9",1
Volution Online Ltd.,"10 Buchanan Street, St. Stephen, NB  E3L 1X9",1
Quebec,,
Employer ,Address,Positions Requested
167811 Canada Inc.,"2300 Victoria Avenue, Lachine, QC  H8S 1Z3",1
