Employers who were issued a negative Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,,
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions requested
Newfoundland and Labrador,Bogarts Jewelry Ltd.,"St. John's, NL A1A 5T3","5243-Theatre, fashion, exhibit and other creative designers",1
,Carol Automobile Ltd.,"Labrador City, NL A2V 2K6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,Normie's Enterprises Inc,"Corner Brook, NL A2H 6T2",6322-Cooks,4
,Oriental Star Restaurant Inc. c/o China House Restaurant,"St. Johns, NL A1A 2H1",6322-Cooks,2
,ProActive Physiotheraphy Inc,"St John's, NL A1A 5T3",3142-Physiotherapists,1
,Rainbow Daycare Company Ltd.,"St. John's, NL A1N 3J5",4214-Early childhood educators and assistants,1
,Redwood Construction Limited,"St. John's, NL A1B 4B7",7271-Carpenters,1
,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7532-Water transport deck and engine room crew,3
,Tai Sun Restaurant,"Grand Falls-Windsor, NL A2A 1X2",6321-Chefs,2
,Uncle Li Restaurant Inc,"Clarenville, NL A5A 0C3",0631-Restaurant and food service managers,1
Prince Edward Island,Direct NutriSciences Inc.,"Milton Station, PE C1E 0T8",2243-Industrial instrument technicians and mechanics,1
,MacDougall Steel Erectors Inc.,"Borden-Carleton, PE C0B 1X0",2253-Drafting technologists and technicians,1
,MacPherson Builders Inc.,"Belfast R.R. #1, PE C0A 1A0",7271-Carpenters,5
,Mr. Sushi Inc.,"Charlottetown, PE C1A 4K6",6322-Cooks,1
,PEI Ocean View Resort Inc.,"Summerside, PE C1N 2V5",6321-Chefs,3
,Richie Foods,"Charlottetown, PE C1A 4N5",6311-Food service supervisors,1
,W P Griffin Inc,"Elmsdale, PE C0B 1K0",8431-General farm workers,4
Nova Scotia,3043177 Nova Scotia Limited(Frontier Technology),"Dartmouth, NS B3B 1T4",2174-Computer programmers and interactive media developers,1
,Alex Oh Sushi & Rolls Ltd,"Halifax, NS B3J 2K4",6322-Cooks,1
,Anson Caregivers Inc.,"Dartmouth, NS B2Y 4B8",3012-Registered nurses and registered psychiatric nurses,5
,,,"3413-Nurse aides, orderlies and patient service associates",1
,Baan Thai Restaurant Ltd,"Halifax, NS B3J 1J7",6322-Cooks,1
,Baby Panda Asian Cuisine,"Windsor, NS B0N 2T0",6322-Cooks,1
,Berkeley Holdings,"Halifax, NS B3K 4W3",6322-Cooks,1
,Capital Seafood International Incorporated,"Eastern Passage, NS B3G 1M5",2141-Industrial and manufacturing engineers,1
,Coastal Restoration & Masonry Limited,"Goodwood, NS B3T 1P3",7281-Bricklayers,1
,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,1
,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Nursery and greenhouse workers,4
,Digby Backpackers Inn,"Digby, NS B0V 1A0",0632-Accommodation service managers,1
,"Elite Balsam Products, Inc","St Andrews, NS B0H 1X0",8432-Nursery and greenhouse workers,6
,Fisherman's Market International Inc.,"Halifax, NS B3M 2L6",9463-Fish and seafood plant workers,3
,Garden View Restaurant Ltd,"Dartmouth, NS B2X 1S2",6322-Cooks,1
,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",5252-Coaches,1
,HB Studios Multimedia Ltd,"Lunenburg, NS B0J 2C0",2173-Software engineers and designers,1
,John's Steak House Limited,"Antigonish, NS B2G 1R6",6322-Cooks,2
,Maskwa Aquatic Club,"Halifax, NS B3M 3H8","0513-Recreation, sports and fitness program and service directors",1
,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cooks,4
,NewAE Technology Inc.,"Halifax, NS B3H 2R8",2174-Computer programmers and interactive media developers,1
,Nova Scotia Health Authority,"Sidney, NS B1P 1P3",3111-Specialist physicians,1
,Oxford Berry Farm,"Oxford, NS B0M 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Royal & Sun Alliance Ins. Co. of Canada,"Dartmouth, NS B3B 0L9","2161-Mathematicians, statisticians and actuaries",1
