"List of employers who were issued a negative  Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
Newfoundland and Labrador,   Low Wage,Barry Mackinnon Restaurant Inc,"Corner Brook, NL A2H 7K5",6311-Food service supervisors,1
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",8431-General farm workers,1
Nova Scotia,    High Wage,3091914 Nova Scotia Limited,"Halifax, NS B3K 1H8",1221-Administrative officers,1
,   Low Wage,Sackville Recycling Ltd.,"Lower Sackville, NS B4C 2R8",7452-Material handlers,2
New Brunswick,    High Wage,Medical Offices of Dr J H Steeves,"Rothesay, NB E2H 1A8",3111-Specialist physicians,1
,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",6312-Executive housekeepers,1
,,Eastern Outdoors Inc.,"Dipper Harbour, NB E5J 1Y2",6532-Outdoor sport and recreational guides,1
Quebec,    High Wage,137377 Canada Inc.,"Boucherville, QC J4B 7M4",2281-Computer network technicians,1
,,4355768 Canada Inc.,"QuÇbec, QC G1K 8G3",2175-Web designers and developers,1
,,6450113 Canada Inc.,"MontrÇal, QC H4A 3J3",6322-Cooks,1
,,9139249 Canada Inc,"MontrÇal, QC H2X 2H5","0124-Advertising, marketing and public relations managers",1
,,9168-1346 QuÇbec Inc.,"MontrÇal, QC H3H 1J3",6322-Cooks,1
,,9170-9154 QuÇbec Inc,"Pierrefonds, QC H8Z 2B4","7301-Contractors and supervisors, mechanic trades",2
,,9197-7330 QuÇbec inc.,"MontrÇal, QC H3B 1H9","0124-Advertising, marketing and public relations managers",1
,,9246-6135 QuÇbec Inc.,"Sherbrooke, QC J1J 2E8",6322-Cooks,1
,,9281-5059 QuÇbec inc.,"Lebel-sur-Quevillon, QC J0Y 1X0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,9305-6828 QuÇbec Inc.,"Laval, QC H7V 4A7",3131-Pharmacists,1
,,CIDMA inc.,"MontrÇal, QC H4C 3C5",2175-Web designers and developers,1
,,Cinesite Inc.,"MontrÇal, QC H2Y 0A3",5241-Graphic designers and illustrators,1
,,Club Aquatique Rosemont-La-Petite-Patrie,"MontrÇal, QC H2G 1N6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2174-Computer programmers and interactive media developers,1
,,Distribution G.V.A inc.,"Laval, QC H7M 2Y5",0113-Purchasing managers,1
,,Integra Services d'Immigration Canadiens Inc.,"MontrÇal, QC H2L 3X1",2147-Computer engineers (except software engineers and designers),1
,,JMJ AÇronautique Inc.,"Saint-Hubert, QC J3Y 8Y9","2271-Air pilots, flight engineers and flying instructors",1
,,KDS Commerce Inc.,"Laval, QC H7P 3V3",2281-Computer network technicians,1
,,Kinova Inc.,"Boisbriand, QC J7H 1M7",2132-Mechanical engineers,1
,,Les Coiffeurs Magazines Inc.,"Westmount, QC H3Z 1P6","0651-Managers in customer and personal services, n.e.c.",1
,,Modlum Lighting Canada Inc.,"Montreal, QC H4R 1X1","0013-Senior managers - financial, communications and other business services",1
,,MunicipalitÇ de L'◊le - d'Anticosti,"Port-Menier, QC G0G 2Y0",4214-Early childhood educators and assistants,1
,,NEWREST MONTRêAL CORPORATION,"Dorval, QC H9P 1K6",6552-Other customer and information services representatives,1
,,Nunetworx Communications Inc.,"MontrÇal, QC H2N 1L5",2173-Software engineers and designers,1
,,Office d'Investissement des RÇgimes de Pension du secteur public,"MontrÇal, QC H3B 5E9","0122-Banking, credit and other investment managers",1
,,Valbo Inc.,"MontrÇal, QC H1E 1P4",1241-Administrative assistants,1
,,Waff World Gifts Inc.,"Montreal, QC H4R 2E9",5241-Graphic designers and illustrators,1
,,ZHONGDE CONSULTING LTD,"MontrÇal, QC H3H 2E7",0621-Retail and wholesale trade managers,1
,   Low Wage,6173306 Canada Inc.,"Amos, QC J9T 1H3",6311-Food service supervisors,1
,,9310-6508 QuÇbec inc.,"MontrÇal, QC H3H 2M4",6322-Cooks,1
,,Artemur Inc,"Chicoutimi, QC G7H 1V5",9471-Plateless printing equipment operators,1
,,Au pain quotidien St-Laurent inc.,"MontrÇal, QC H3L 2P4",6332-Bakers,1
,,Botan Construction Inc.,"Montreal, QC H4G 1V1",0712-Home building and renovation managers,1
,,C. OUI CONSTRUCTIONS INC.,"St-Lin-Laurentides, QC J5M 2P6","7284-Plasterers, drywall installers and finishers and lathers",1
,,DÇpanneur Vieux MontrÇal (2016) Inc.,"MontrÇal, QC H2Y 1S6",6322-Cooks,1
,,Hìtel Motel Nordic,"Chibougamau, QC G8P 1R6",6525-Hotel front desk clerks,1
,,Laboratoire dentaire Joly et Lanois inc.,"Mirabel, QC J7J 0C3","3223-Dental technologists, technicians and laboratory assistants",1
,  Primary Agriculture,624899 Nouveau-Brunswick ltÇe,"St-Lambert, QC G0S 2W0",8431-General farm workers,2
Ontario,    High Wage,1397764 ONTARIO INC.,"Bradford, ON L3Z 2M8",7281-Bricklayers,1
,,1533665 Ontario Ltd.,"Concord, ON L4K 4Z7",7311-Construction millwrights and industrial mechanics,1
,,2097181 Ontario Ltd.,"Caledon, ON L7C 3T4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2224973 Ontario Inc.,"Hamilton, ON L8K 1C7",6211-Retail sales supervisors,1
,,2347191 Ontario Inc.,"North York, ON M2M 2M6",0621-Retail and wholesale trade managers,1
,,2347401 Ontario Inc./ O/A Asian Food Centre,"Brampton, ON L7A 3Y6",6322-Cooks,1
,,7892985 Canada Corporation,"North York, ON M2R 3B6",7511-Transport truck drivers,1
,,8048975 Canada Inc.,"Mississauga, ON L4W 1B9",7441-Residential and commercial installers and servicers,2
