"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Requested Positions
Newfoundland and Labrador,   Low Wage,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",6322-Cooks,1
,,K&S Holdings,"LABRADOR CITY, NL A2V  2W",6513-Food and beverage servers,2
Prince Edward Island,    High Wage,Aspin Kemp & Associates Inc.,"MONTAGUE, PE C0A 1R0",2173-Software engineers and designers,1
,   Low Wage,8208115 Canada Ltd. o/a Terre Rouge Bistro Marche,"CHARLOTTETOWN, PE C1A 4A7",6322-Cooks,1
,,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",6322-Cooks,2
,,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Construction trades helpers and labourers,8
,,Rashed Enterprise Ltd. o/a Sam's Family Restaurant,"CHARLOTTETOWN, PE C1A 5P3",6322-Cooks,2
,  Primary Agriculture,Birkentree Holsteins Inc.,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Nova Scotia,    High Wage,Clearwater Ocean Prawn Venture,"Lunenburg, NS B0J 2C0",7242-Industrial electricians,1
,,Dash Hudson Inc.,"HALIFAX, NS B3J 2A2",2174-Computer programmers and interactive media developers,2
,   Low Wage,3149411 Nova Scotia Limited,"HALIFAX, NS B2W 0J7",6322-Cooks,2
,,Nio Wholesale Ltd o/a Bento Sushi,"Bedford, NS B4A 0G6",6322-Cooks,1
,,Sambro Fisheries Limited,"Sambro, NS B3V 1L5",9463-Fish and seafood plant workers,1
New Brunswick,    High Wage,Leader Transport Ltd.,"Dieppe, NB E1A 9A9",7511-Transport truck drivers,2
,   Low Wage,Atlantic Potato Distributors,"Perth-Andover, NB E7H 2J2","9465-Testers and graders, food, beverage and associated products processing",7
,,M.R. Enterprises Ltd. o/a Checker Cab & Deliveries,"RICHIBUCTO RD, NB E3A 6X7",7513-Taxi and limousine drivers and chauffeurs,1
,,Pizza Delight,"Campbellton, NB E3N 3A9",6322-Cooks,1
,,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Fish and seafood plant workers,3
Quebec,    High Wage,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",0111-Financial managers,1
,,,,0631-Restaurant and food service managers,1
,,,,2173-Software engineers and designers,1
,,EFFENTI INC.,"Québec, QC G1W 2K7",2174-Computer programmers and interactive media developers,1
,,Europ Auto Jet Inc.,"Montréal, QC H3A 1T1",1222-Executive assistants,1
,,PREMIER CHOIX SOLUTIONS DE PAIEMENT S.E.N.C.,"MONTREAL, QC H3C 3R7",2174-Computer programmers and interactive media developers,1
,,Restaurant Marché Central Bogaty Inc.,"Montréal, QC H4N 1K2",6321-Chefs,1
,,Restaurant Wa Hing Liho S.E.N.C.,"Gatineau, QC J8R 4R3",6322-Cooks,2
,,TC MÉDIA LIVRES INC,"MONTRÉAL, QC H3B 0G1",1112-Financial and investment analysts,1
,,Usine Amsellem inc.,"Laval, QC H7E 1A3",1241-Administrative assistants,1
,   Low Wage,9309-0348 Quebec Inc,"MONTREAL-NORD, QC H1G 3E7",6332-Bakers,1
,,9340-7849 Québec Inc,"MONTRÉAL, QC H2J 1H9",6322-Cooks,1
,,9360-9030 Québec inc.,"LÉVIS, QC G6W 8A8",6322-Cooks,1
,,Barbès café resto Inc.,"MONTRÉAL, QC H2A 1Y9",6322-Cooks,1
,,Club de judo Seikidokan inc.,"TROIS-RIVIÈRES, QC G8T 9B2","5254-Program leaders and instructors in recreation, sport and fitness",1
,,ORGANISME DE BASSIN VERSANT MATAPÉDIA-RESTIGOUCHE,"CAUSAPSCAL, QC G0J 1J0",2221-Biological technologists and technicians,1
,,Pièces D'auto H Moran 2001 Inc.,"ILE-BLIZARD, QC H9C 2H8",7445-Other repairers and servicers,1
,,RESTAURANT RODIZIO À BRASIL INC.,"MONTREAL, QC H2Y 1C2",6322-Cooks,2
,,Transport Armstars Inc.,"LAVAL, QC H7T 2E2",1253-Records management technicians,1
,,Verbom Inc.,"VALCOURT, QC J0E 2L0",7231-Machinists and machining and tooling inspectors,5
,,Villeneuve Construx,"Montréal, QC H1L 5J4",7295-Floor covering installers,1
,  Primary Agriculture,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-General farm workers,3
Ontario,    High Wage,10029483 Canada Inc. o/a Econolodge Inn & Suites,"PEMBROKE, ON K8A 7R9",7332-Appliance servicers and repairers,1
,,10738883 Canada Inc o/a Aionios Spa,"MISSISSAUGA, ON L5V 1M4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,10795798 Canada Incorporated o/a Global Tools Rental,"MISSISSAUGA, ON L4T 1G3",0621-Retail and wholesale trade managers,1
,,1149030 B.C. Ltd,"TORONTO, ON M4H 1L6",0631-Restaurant and food service managers,1
,,1208746 Ontario Limited o/a Poly Blow Moulding Inc.,"BRAMPTON, ON L6T 5T3",2233-Industrial engineering and manufacturing technologists and technicians,1
