"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (April-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,   Low Wage,J. Co Holdings Inc.,"St. John's, NL A1C 2A5",6322-Cooks,2
,,Mes Amis Daycare and Preschool,"St. John's, NL A1A 4P8",4214-Early childhood educators and assistants,1
Prince Edward Island,   Low Wage,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",0631-Restaurant and food service managers,1
Nova Scotia,   Low Wage,Care & Fun Childcare Limited,"HALIFAX, NS B3M 3V3",4214-Early childhood educators and assistants,1
,,Mandox Incorporated,"ANNAPOLIS ROYAL, NS B0S 1A0",6322-Cooks,1
,,Scott and Stewart Forestry Consultants Ltd,"St Andrews, NS B0H 1X0",8616-Logging and forestry labourers,1
,,Sydney Fresh Casual Restaurants Inc.,"AMHERST, NS B4H 4L2",6322-Cooks,2
,  Primary Agriculture,Perfect Berries Limited,"Berwick, NS B0P 1E0",8431-General farm workers,20
New Brunswick,   Low Wage,638001 NB Inc,"Shediac, NB E4P 2G9",6311-Food service supervisors,1
,,658579 NB Ltd,"FREDERICTON, NB E3C 1A2",6322-Cooks,2
,,G.L. Sawmill Ltee,"HAUTE-ABOUJAGANE, NB E4P 5P4","9614-Labourers in wood, pulp and paper processing",5
,,Murphy Foodservice Ltd,"SAINT JOHN, NB E2L 1G4",6322-Cooks,1
,,Provincial Bandag Tires Ltd.,"ST. BASILE, NB E7C 1M7",9423-Rubber processing machine operators and related workers,1
Quebec,    High Wage,8531145 Canada Inc.,"Montréal, QC H2X 2V5",5241-Graphic designers and illustrators,1
,,9257-2734 Québec Inc.,"ANJOU, QC H1M 0A1",0631-Restaurant and food service managers,1
,,9287-6697 Québec Inc.,"Montréal, QC H1S 1L1",6322-Cooks,1
,,9308-8268 Québec Inc.,"Montréal, QC H3N 1R1",1241-Administrative assistants,1
,,Andy Transport Inc.,"SAINT-LAURENT, QC H4T 1K2",1222-Executive assistants,1
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3
,,Groupe Conseil BC2 Inc.,"Montreal, QC H2Y 2A3",1241-Administrative assistants,1
,,Groupe Volvo Canada Inc,"MONTRÉAL, QC H3B 4M7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Insima Media Inc.,"Mascouche, QC J7K 0R1",0113-Purchasing managers,1
