"Employers who were Issued a Negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020(April-June)",,,,,
Province/Territory,Stream ,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,  Primary Agriculture,Miao's Holding Inc.,"St. John's, NL A1H 0M1",8431-General farm workers,2
Nova Scotia,   Low Wage,3091914 NS LTD,"HALIFAX, NS B3K 1H8",6322-Cooks,1
New Brunswick,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",0632-Accommodation service managers,1
Quebec,    High Wage,9386-4650 Quebec Inc. Boulangerie Vasconia,"MONTRÉAL, QC H2J 2L6",0631-Restaurant and food service managers,1
Quebec,    High Wage,9927115 Canada Inc.,"Montréal, QC H2X 1K5",6322-Cooks,1
Quebec,    High Wage,Forages Technic-Eau inc.,"Sherbrooke, QC J1R 0P4",7373-Water well drillers,1
Quebec,   Low Wage,Saladexpress inc,"St-Rémi, QC J0L 2L0","9617-Labourers in food, beverage and associated products processing",13
Ontario,    High Wage,10390097 Canada Inc.,"WAWA, ON P0S 1K0",6321-Chefs,1
Ontario,    High Wage,1135269 Ontario Inc.,"Ottawa, ON K1S 3V4",1221-Administrative officers,1
Ontario,    High Wage,11941127 Canada Inc.,"Mississauga, ON L5L 4B6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,1561180 ONTARIO INC,"mississauga, ON L5W 0E6",0631-Restaurant and food service managers,1
Ontario,    High Wage,1707994 ontario inc,"TORONTO, ON M3J 1Y6",1241-Administrative assistants,1
Ontario,    High Wage,2232956 Ontario Inc,"North York, ON M2J 5A7",6311-Food service supervisors,1
Ontario,    High Wage,2353914 Ontario Inc.,"Oakville, ON L6M 0Z6",0114-Other administrative services managers,1
Ontario,    High Wage,2362953 ONTARIO INC.,"Pickering, ON L1W 1P9","6313-Accommodation, travel, tourism and related services supervisors",1
Ontario,    High Wage,930297 Ontario Limited,"Mississauga, ON L4V 1Y1",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,ADDA BISTRO INC,"Toronto, ON M5A 1T1",6321-Chefs,1
Ontario,    High Wage,Advanced Plumbing Inc,"Toronto, ON M6P 1N8",7251-Plumbers,1
Ontario,    High Wage,Aerocopter Component Services Ltd.,"Vaughan, ON L4H 1X9",7315-Aircraft mechanics and aircraft inspectors,1
Ontario,    High Wage,Asung Trading Inc.,"North York, ON M9N 2V8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Cafe One Fifty Inc,"Mississauga, ON L5N 3C9",0631-Restaurant and food service managers,1
Ontario,    High Wage,Canada Archery Online Inc.,"Toronto, ON M3C 2G3",6222-Retail and wholesale buyers,1
Ontario,    High Wage,CSS Industrial Group of Companies Inc.,"Carp, ON K0A 1L0","7302-Contractors and supervisors, heavy equipment operator crews",1
Ontario,    High Wage,Digital Extremes Ltd.,"London, ON N6A 6K2",5223-Graphic arts technicians,1
