"List of employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (January-June)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
Newfoundland and Labrador,    High Wage,Bailey Veterinary Surgical Specialty Ltd.,"Mount Pearl, NL A1N 3J7",3114-Veterinarians,1
,,Green Food Industries Inc.,"St. John's, NL A1B 1W3",6322-Cooks,2
,,Hantang International Inc.,"St. John's, NL A1B 3A1",1225-Purchasing agents and officers,1
,   Low Wage,Avalon Tech & Tailor,"St John's, NL A1B 3W8","6342-Tailors, dressmakers, furriers and milliners",1
,,Hillcorp Investments Inc.,"Happy Valley - Goose Bay, NL A0P 1E0","1212-Supervisors, finance and insurance office workers",1
Prince Edward Island,    High Wage,Edward Newtech Ltd.,"Charlottetown, PE C1A 4K7","0512-Managers - publishing, motion pictures, broadcasting and performing arts",1
,   Low Wage,Zion Development,"Charlottetown, PE C1A 4T8","4412-Home support workers, housekeepers and related occupations",1
,  Primary Agriculture,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-General farm workers,1
,,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",8431-General farm workers,1
,,Waynecroft Farms,"Miscouche, PE C0B 1T0",8431-General farm workers,1
,Permanent Resident Only,101185 PEI Inc,"Kensington, PE C0B 1M0",6322-Cooks,1
Nova Scotia,    High Wage,Antares Computers Limited,"Bridgewater, NS B4V 2S7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Copernicus Studios Inc.,"Halifax, NS B3J 3P1",5241-Graphic designers and illustrators,1
,,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",7511-Transport truck drivers,4
,,NS Medical Examiner Service,"Dartmouth, NS B3B 0J2",5221-Photographers,1
,,Pantel International Inc,"Dartmouth, NS B3B 1W1",2174-Computer programmers and interactive media developers,1
,   Low Wage,Ace Upholstery Limited,"Halifax, NS B3T 1P4",6345-Upholsterers,1
,,Arbuckle's Service Center Ltd.,"Westville, NS B0K 2A0",7511-Transport truck drivers,1
,  Primary Agriculture,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,1
,,Perfect Berries Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,19
,,Sarsfield Farms,"Canning, NS B0P 1H0",8431-General farm workers,13
New Brunswick,    High Wage,Rogers Electric Motor Service (1998) Ltd.,"Bathurst, NB E2A 4W7",7333-Electrical mechanics,1
,,Transport Solutions Ltd.,"Moncton, NB E1C 1G5",7511-Transport truck drivers,10
,,Trius Inc.,"Fredericton, NB E3B 5E3",7312-Heavy-duty equipment mechanics,1
,   Low Wage,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,3
,,Thandi's Inc.,"Saint John, NB E2L 2C6",6322-Cooks,2
,  Primary Agriculture,Canada Green,"St. George, NB E5C 3K6",8432-Nursery and greenhouse workers,1
,,"Champinord, Inc.","Eel River Crossing, NB E8E 2W9",8611-Harvesting labourers,8
Quebec,    High Wage,7759983 Canada Inc,"Sherbrooke, QC J1E 2J9","1123-Professional occupations in advertising, marketing and public relations",1
,,8415170 Canada Inc.,"Verdun, QC H4G 1V7",5134-Dancers,3
