"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (January-March)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Prince Edward Island,    High Wage,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0",7271-Carpenters,8
,,,,7291-Roofers and shinglers,6
,   Low Wage,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Construction trades helpers and labourers,8
,,Red Mountain Food Inc.,"CHARLOTTETOWN, PE C1A 4H7",6321-Chefs,2
,  Primary Agriculture,Matos Winery and Distillery,"St. Catherines, PE C0A 1H1",8431-General farm workers,1
,,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",8431-General farm workers,3
Nova Scotia,    High Wage,Spar Marine Limited,"DARTMOUTH, NS B3B 1E4",7242-Industrial electricians,1
,   Low Wage,Burnside Law Group Limited,"DARTMOUTH, NS B3B 1S8",4211-Paralegal and related occupations,1
,,C&D Makridis Holdings Ltd.,"Halifax, NS B3M 2K3",6316-Other services supervisors,1
,,Chebucto Inn,"Halifax, NS B3K 2R9",6322-Cooks,1
,,Nio Wholesale Ltd o/a Bento Sushi,"Bedford, NS B4A 0G6",6322-Cooks,1
New Brunswick,    High Wage,Cape Enrage Interpretive Centre Inc.,"WATERSIDE, NB E4H 4Z4",6322-Cooks,1
,,Colbr Consulting Inc.,"Maquapit Lake, NB E4B 0A6","4169-Other professional occupations in social science, n.e.c.",1
,,McKenzie Learning Systems Inc.,"MONCTON, NB E1C 5Y6","1123-Professional occupations in advertising, marketing and public relations",1
,   Low Wage,C&A Toner Ltd.,"GRANDFALLS, NB E3Z 1A6",6332-Bakers,1
Quebec,    High Wage,7909284 Canada inc.,"CANDIAC, QC J5R 2E2","1123-Professional occupations in advertising, marketing and public relations",1
,,9014-5459 Quebec Inc.,"Riviere du Loup, QC G5R 1E2",1241-Administrative assistants,1
,,9171-7363 Quebec Inc,"LA PRAIRIE, QC J5R 1S8","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,9320-9955 Québec inc. / Au Safran,"Saint-Paul, QC J0K 3E0",6322-Cooks,1
,,9358-4399 Québec Inc.,"REPENTIGNY, QC J6A 8L6",6311-Food service supervisors,1
,,9378-3173 Quebec Inc,"MONTRÉAL, QC H2E 2K5","5243-Theatre, fashion, exhibit and other creative designers",1
,,Altitude Aerospace Inc,"MONTRÉAL, QC H4S 1T2",2146-Aerospace engineers,1
,,Au delà de l'éducation Canada Inc,"MONTRÉAL, QC H3H 2S2",4021-College and other vocational instructors,1
,,Canadian Helicopters Limited,"Les Cèdres, QC J7T 1G1",0211-Engineering managers,1
,,Equipement Comact dba: Comact Equipment,"Saint-Georges, QC G5Y 8G4",7231-Machinists and machining and tooling inspectors,2
,,Impôts Lorenti,"MONTREAL, QC H2S 2N1",1311-Accounting technicians and bookkeepers,1
,,JBC Architectes inc.,"Montréal, QC H2V 1A5",2251-Architectural technologists and technicians,1
,,La Maison Simons,"MONTRÉAL, QC H2V 4M1","5232-Other performers, n.e.c.",2
,,Mangogen Pharma inc.,"Laval, QC H7V 5B7","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Maplace Inc.,"QUÉBEC, QC G1V 0B9",1241-Administrative assistants,1
,,NSAIIA INTERNATIONAL INC,"Magog, QC J1X 2B3",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,9
,,Programme Addiction Outreach,"MONTRÉAL, QC H2S 1S8",4212-Social and community service workers,1
,,"Zef Scientific, Inc.","Dorval, QC H9P 1J8",2241-Electrical and electronics engineering technologists and technicians,1
,   Low Wage,9326-9264 Quebec Inc.,"PINCOURT, QC J7W 0H6","6733-Janitors, caretakers and building superintendents",2
,,9339-3817 Québec Inc.,"MONTRÉAL, QC H2P 1V2",6332-Bakers,1
,,Golf Le Griffon De Sources Inc.,"MIRABEL, QC J7N 3B1",1241-Administrative assistants,1
,,La Compagnie Moruzzi Limitée,"Montreal, QC H1P 3L7",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Le Blanco Inc.,"MONT-TREMBLANT, QC J8E 3J8",6341-Hairstylists and barbers,1
,,Les Chamois Mont-Royal Inc.,"MONTREAL, QC H4T 1Y2",1524-Purchasing and inventory control workers,1
,,Salon de coiffure New Chomedey,"MONTRÉAL, QC H2X 1X3",6341-Hairstylists and barbers,1
,  Primary Agriculture,Desil-Eggs Corp.,"Notre-Dame-du-Bon-Conseil, QC J0C 1A0",8431-General farm workers,2
,,Ferme R Legault 2001 Inc.,"St-Eustache, QC J7R 0E2",8431-General farm workers,1
, Global Talent Stream,Le Groupe BSI Inc.,"MONTREAL, QC H2Y 2P5",2171-Information systems analysts and consultants,2
Ontario,    High Wage,10195766 Canada Inc,"RICHMOND HILL, ON L4E 0K2",2241-Electrical and electronics engineering technologists and technicians,1
,,1065022 Ontario Limited O/A Juno Electric,"GUELPH, ON N1K 1B6",7241-Electricians (except industrial and power system),1
,,1166552 Ontario Inc. o/a Pioneer Cruises,"NORTH YORK, ON M3J 3K6",1226-Conference and event planners,1
,,,,6221-Technical sales specialists - wholesale trade,1
,,,,6322-Cooks,1
,,1487017 Ontario Inc. o/a City Engine Rebuilder,"BRAMPTON, ON L6T 4K8",1241-Administrative assistants,1
,,1519950 Ontario Ltd. o/a New Millenium Tire Center,"Brampton, ON L6W 1X4",1431-Accounting and related clerks,2
,,1534178 Ontario Ltd.,"Ottawa, ON K1K 0T6",6322-Cooks,2
,,1545317 Ontario Inc. o/a Liaison College,"TORONTO, ON M9W 1A1",1221-Administrative officers,1
,,1634705 Ontario Inc.,"SEGUIN, ON P2A 2W8","6313-Accommodation, travel, tourism and related services supervisors",1
,,1643707 Ont Inc. o/a Palma Door Systems Inc,"TORONTO, ON M3N 1V9","9226-Supervisors, other mechanical and metal products manufacturing",1
,,1714625 Ontario Limited. trading as Bill's Mobile Repair,"Sarnia, ON N7W 1B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,1817478 Ontario Inc o/a Schnitzel Hub,"Toronto, ON M4T 1Y7",6322-Cooks,1
,,2000007 Ontario Inc. o/a INKAS Armored Vehicle Manufacturing,"Toronto, ON M9L 1V7",1221-Administrative officers,1
,,2017761 Ontario Ltd. o/a Bathurst Village Market,"TORONTO, ON M2R 1Z1",2281-Computer network technicians,1
,,2029147 Ontario Inc.,"AYR, ON N0B 1E0","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2192964 Ontario Limited,"NORTH BAY, ON P1B 0A6","6562-Estheticians, electrologists and related occupations",1
,,2223098 Ontario Inc,"Mississauga, ON L4T 0A7",6311-Food service supervisors,1
,,2256876 Ontario Inc. o/a Industrial Automation Repair,"Mississauga, ON L4W 1R1",6221-Technical sales specialists - wholesale trade,1
,,2258517 Ontario Ltd. o/a Boston Pizza Kingston West,"KINGSTON, ON K7M 3Y5",1311-Accounting technicians and bookkeepers,1
,,,,6311-Food service supervisors,1
,,2262415 Ontario Inc. o/a Skyblue Enterprises,"MISSISSAUGA, ON L4W 1V5",6222-Retail and wholesale buyers,1
,,2333869 Ontario Inc. o/a Top Rehab,"MISSISSAUGA, ON L5M 3B9","1211-Supervisors, general office and administrative support workers",1
,,2366783 Ontario Inc. o/a Peel Auto Collision,"BRAMPTON, ON L4W 1E3",7237-Welders and related machine operators,1
,,,,7322-Motor vehicle body repairers,1
,,2373959 Ontario Ltd.  o/a Quality Supermarket,"MILTON, ON L9T 9H1",6311-Food service supervisors,1
,,2430787 Ontario Inc. o/a Friends Furniture and Matress,"Brampton, ON L6T 5E7",1311-Accounting technicians and bookkeepers,1
,,2482575 Ontario Inc. o/a National Auto Centre,"BRAMPTON, ON L6P 1L9",1522-Storekeepers and partspersons,1
,,2524214 Ontario Inc. o/a Hampton Inn,"MAPLE, ON L6A 3K1","6313-Accommodation, travel, tourism and related services supervisors",1
,,2565732 Ontario Inc. o/a Amorim Concrete and Contracting,"KITCHENER, ON N2G 2V4",7282-Concrete finishers,1
,,7 DECEMBER 1921 ONTARIO INC. o/a Subway,"COBDEN, ON K0J 1K0",0631-Restaurant and food service managers,1
,,8815216 Canada Inc. (Kenora Husky Travel Centre),"KENORA, ON P9N 1V6",0621-Retail and wholesale trade managers,1
,,A & F Equipment Limited,"ETOBICOKE, ON M9W 1L3",7511-Transport truck drivers,4
,,A-Class Upholstery Ltd.,"Brampton, ON L6T 3V1",4216-Other instructors,1
,,Action Anytime Building Services Ltd.,"TORONTO, ON M9V 1C2",1221-Administrative officers,1
,,Advanced Control System Corporation,"STOUFFVILLE, ON L4A 7X4",1221-Administrative officers,1
