"List of employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2017 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions 
Newfoundland and Labrador,    High Wage,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2145-Petroleum engineers,1
,   Low Wage,Labrador Professional Dental Clinic,"Goose Bay, NL A0P 1C0",3411-Dental assistants,1
Nova Scotia,    High Wage,European Natural Stone & Marble Products Ltd.,"Halifax, NS B3M 4K8","9211-Supervisors, mineral and metal processing",1
,   Low Wage,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Boat assemblers and inspectors,1
,  Primary Agriculture,Eyking Brothers Farm Limited,"Millville, NS B1Y 2E2",8431-General farm workers,4
New Brunswick,    High Wage,Blue Cross Life,"Moncton, NB E1C 8L3","2161-Mathematicians, statisticians and actuaries",1
Quebec,    High Wage,001 Traduction Canada Inc.,"Montreal, QC H2Y 2W8","0016-Senior managers - construction, transportation, production and utilities",1
,,4318366 CANADA INC.,"Montréal, QC H3R 2H7",6322-Cooks,1
,,9218-2666 Québec Inc.,"Montreal, QC H4A 1E2",6322-Cooks,1
,,9223-7932 Québec Inc.,"Westmount, QC H3Z 1T3","0124-Advertising, marketing and public relations managers",1
,,9252-0618 Québec Inc.,"Montréal, QC H4P 1P5",6321-Chefs,1
,,9275-9042 Quebec Inc.,"Beauharnois, QC J6N 1V9",6321-Chefs,1
,,9330-4236 Quebec Inc.,"L'Anse-à-Beaufils, QC G0C 1G0",0631-Restaurant and food service managers,1
,,Centre de Médecine Sportive Repentigny inc.,"Repentigny, QC J6A 2T4",3125-Other professional occupations in health diagnosing and treating,1
,,CISSS de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC J9X 2B2",3012-Registered nurses and registered psychiatric nurses,1
,,Compagnie immobilière et commerciale C.I.M.C.O,"Montreal, QC H3B 1S6",0621-Retail and wholesale trade managers,1
,,Distribution G.V.A inc.,"Laval, QC H7M 2Y5",0113-Purchasing managers,1
,,Equalit.ie Inc.,"Montreal, QC H2T 1X3",1222-Executive assistants,1
,,Ficodis Inc.,"Montréal, QC H2Y 2R6",1225-Purchasing agents and officers,1
,,Javeq Tech Inc.,"Montréal, QC H3C 1K7",6341-Hairstylists and barbers,1
,,L'atelier moderne concepts bois Inc.,"Terrebonne, QC J6X 4K4",6211-Retail sales supervisors,1
,,Métal Pless inc.,"Plessisville, QC G6L 1W4","0124-Advertising, marketing and public relations managers",1
,,Pizzeria Redpizza inc.,"Montreal, QC H8N 2N8",6322-Cooks,1
,,PureLoad Software Canada Inc.,"Saint-Pie, QC J0H 1W0",2171-Information systems analysts and consultants,1
