"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Requested Positions
Newfoundland and Labrador,   Low Wage,Awesome Enterprises Limited,"Mount Pearl, NL A1N 3J5",6311-Food service supervisors,1
,,Realty Professionals Ltd.,"DEER LAKE, NL A8A 1E1","0124-Advertising, marketing and public relations managers",1
Nova Scotia,    High Wage,Blue Ocean Contact Centers Inc,"Halifax, NS B3L 4V2",6552-Other customer and information services representatives,1
,,Stelia Aéronautique Amérique du Nord Inc,"Lunenburg, NS B0J 2C0",0111-Financial managers,1
,   Low Wage,Atlantic Sea Cucumber Ltd.,"HACKETTS COVE, NS B3Z 3K7",9463-Fish and seafood plant workers,12
,,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Boat assemblers and inspectors,1
,,LSJ Group Ltd.,"BEDFORD, NS B4A 1B4",4214-Early childhood educators and assistants,1
New Brunswick,    High Wage,Sunbury Transport Limited,"Saint John, NB E2L 4H8",7511-Transport truck drivers,5
,   Low Wage,Zoa Mansu BBQ Inc.,"Dieppe, NB E1A 1G1",6322-Cooks,2
Quebec,    High Wage,Béton Bolduc Inc.,"Sainte-Marie de Beauce, QC G6E 1G8",7311-Construction millwrights and industrial mechanics,1
,,Carrosserie Tommy Inc.,"LASALLE, QC H8R 3W8",7322-Motor vehicle body repairers,1
,,CISSS de la Montérégie-Est,"St-Hyancynthe, QC J2S 4Y8",3012-Registered nurses and registered psychiatric nurses,1
,,CRESCENDO SYSTEMS CORPORATION,"Laval, QC H7T 0A2",2174-Computer programmers and interactive media developers,1
,,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",2171-Information systems analysts and consultants,1
,,École de Gemmologie de Montréal,"MONTRÉAL, QC H3B 1A7",4021-College and other vocational instructors,1
,,Rodeo FX Inc.,"MONTRÉAL, QC H3C 2M7",5241-Graphic designers and illustrators,1
,   Low Wage,9021-7597 Québec Inc.,"MONTRÉAL, QC H2S 1A1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,9248-9202 QUÉBEC INC.,"SAINT-LAURENT, QC H4T 1S1",6211-Retail sales supervisors,1
,,Armoires Conceptem Inc,"ST-BRUNO DE GUIGES, QC J0Z 2G0",7272-Cabinetmakers,1
,,Café Bistrot le Montagnard inc,"Montréal, QC H1S 1M7",6322-Cooks,1
,,GDG Environnement Ltée,"TROIS-RIVIÈRES, QC G8T 6H3",2221-Biological technologists and technicians,1
,,Laboratoires KABS Inc.,"LONGUEUIL, QC J3Y 9G2",2112-Chemists,1
,,Restaurant ALDEA-MTL Inc.,"MONTRÉAL, QC H2W 1Z8",6322-Cooks,1
,,Restaurant Le Continental Inc.,"Québec, QC G1R 3Y9",6321-Chefs,1
,  Primary Agriculture,9047-4354 Québec inc.,"Sept-Îles, QC G4R 4K1",8611-Harvesting labourers,5
,,Groupe CidreCo inc.,"Hemmingford, QC J0L 1H0",8431-General farm workers,10
,,Les Aliments Grains de Génie Inc,"LOTBINIÈRE, QC G0S 1S0",8431-General farm workers,2
Ontario,    High Wage,002211050 Ontario Inc.,"SCABOROUGH, ON M1X 0A6",6341-Hairstylists and barbers,1
,,10287890 Canada Inc,"NORTH BAY, ON P1A 2G7",0632-Accommodation service managers,1
,,1221425 Ontario Inc/Auto Master Electronic,"MISSISSAUGA, ON L5T 2G9","7301-Contractors and supervisors, mechanic trades",1
,,1552843 Ontario Ltd.,"KINGSVILLE, ON N9Y 2K9",7282-Concrete finishers,1
,,1674645 Ontario Inc. o/a GSN Trucking,"BRAMPTON, ON L6Y 0G8",7511-Transport truck drivers,2
,,1876575 Ontario Inc. (G&D Logistics),"BRANTFORD, ON N3S 0C8",7511-Transport truck drivers,2
,,2062925 Ontario Ltd.,"SHELBURNE, ON L9V 3W1",1221-Administrative officers,1
,,2109971 Ontario Inc,"Concord, ON L4K 1L3",0111-Financial managers,1
,,,,1221-Administrative officers,1
,,2243740 Ontario Inc. o/a Carisma Restaurant,"Toronto, ON M5C 1G3",6322-Cooks,1
,,2287566 Ontario Inc.,"MILTON, ON L9T 0A5",0631-Restaurant and food service managers,1
,,2322819 Ontario Inc. o/a Right Service Right Choice,"Mississauga, ON L4T 3M5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2372405 Ontario Inc.,"ETOBICOKE, ON M9V 3Z7",6211-Retail sales supervisors,1
,,2432236 Ontario Inc. o/a Student Biryani Canada,"MISSISSAUGA, ON L5V 3A4",6321-Chefs,2
,,2442778 Ontario Inc.,"NORTH YORK, ON M3B 3H9",6322-Cooks,1
,,2447103 Ontario Inc.,"Richmond Hill, ON L4B 3B1",6321-Chefs,2
,,2458524 Ontario Inc.,"TORONTO, ON M5M 3X3",6322-Cooks,1
,,2467779 Ontario Ltd.,"MARKDALE, ON N0C 1H0",0621-Retail and wholesale trade managers,1
,,2469522 Ontario Inc.,"ETOBICOKE, ON M9W 6P8",0631-Restaurant and food service managers,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,2483242 Ontario Inc.,"LONDON, ON N5X 0E8",3131-Pharmacists,1
,,2502914 Ontario Inc.,"WINDSOR, ON N9A 3Z6","0016-Senior managers - construction, transportation, production and utilities",2
,,4027426 CANADA INC. o/a COMTOW,"Mississauga, ON L4T 3X1",1221-Administrative officers,1
,,427 Auto Collision Limited,"Toronto, ON M8Z 1K8",7322-Motor vehicle body repairers,1
,,666248 Ontario Limited,"Vaughan, ON L0J 1C0","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,6803512 Canada Inc,"Bolton, ON L7E 5A7",7511-Transport truck drivers,1
,,7090641 Canada Inc.,"BRAMPTON, ON L6V 4J2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,8001189 Canada Inc.,"GUELPH, ON N1L 1E9",1221-Administrative officers,1
,,,,1311-Accounting technicians and bookkeepers,1
,,891015 Ontario Limited,"BEAMSVILLE, ON L0R 1B4",7511-Transport truck drivers,1
,,Acapulco Pools Limited,"KITCHENER, ON N2B 3E2",1431-Accounting and related clerks,1
,,ADAPTIVIST CANADA LIMITED,"TORONTO, ON M5L 1B1",2171-Information systems analysts and consultants,1
,,All Truck Lube and Wash Ltd.,"BRAMPTON, ON L6W 1L4",1311-Accounting technicians and bookkeepers,1
,,Alliance Forming Ltd.,"Bolton, ON L7E 4E3",7271-Carpenters,6
,,Alnico Security Technology Inc.,"SCARBOROUGH, ON M1V 4T5","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
,,Andy Stieva Trucking Ltd.,"Beamsville, ON L0R 1B0",7511-Transport truck drivers,1
,,Animals Inc,"TORONTO, ON M6J 1C5","5131-Producers, directors, choreographers and related occupations",2
,,APA Canada Distributor Ltd.,"Scarborough, ON M1P 4R9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Apex Custom Fabrication Inc.,"TORONTO, ON M6A 2V2",7283-Tilesetters,1
,,Arcadian Projects Ltd.,"BADEN, ON N3A 3J7",7313-Refrigeration and air conditioning mechanics,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Basecrete Inc.,"Woodbridge, ON L4L 8A8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,BM Metals Services Inc.,"SUDBURY, ON P3A 4R7",7242-Industrial electricians,1
,,Bnotions Inc. o/a Symbility Intersect,"Toronto, ON M5A 1E1",0213-Computer and information systems managers,1
,,Boxfish Infrastructure Group Inc.,"OTTAWA, ON K1R 6P1",0211-Engineering managers,1
,,Canada Green Building Council,"OTTAWA, ON K1N 0A1",2131-Civil engineers,1
,,Careguide Inc.,"Toronto, ON M5V 2L1",2173-Software engineers and designers,1
,,Cole Contracting Ltd.,"Toronto, ON M4E 2H3","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Die-Mold Tool Limited,"GEORGETOWN, ON L7G 4R7",0911-Manufacturing managers,1
,,Eastway Contracting Inc,"PEMBROKE, ON K8A 6X8",2131-Civil engineers,1
,,Echelon Global Inc.,"HAMILTON, ON L9C 6X6",0112-Human resources managers,1
,,,,0601-Corporate sales managers,1
,,Energy Carpet Cleaning Inc.,"Markham, ON L3S 4V3",1221-Administrative officers,1
,,Engineering Seismology Group Canada Inc.,"KINGSTON, ON K7K 7K2",2113-Geoscientists and oceanographers,1
,,F.S.F. Construction Ltd.,"TORONTO, ON M6J 3L1",7271-Carpenters,1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,1
,,G Adventures Inc.,"Toronto, ON M5V 2H5",1221-Administrative officers,1
,,German Wreckers Auto & Parts Inc.,"TORONTO, ON M9L 1N2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Global One Roofing Inc.,"ETOBICOKE, ON M9A  2Z","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",2
,,Golden Arch Inc.,"NORTH YORK, ON M2N 3W9",7271-Carpenters,1
,,Grade A Student Inc.,"NEPEAN, ON K2G 0B7",2282-User support technicians,1
,,Guru Animation Studio Ltd.,"TORONTO, ON M5V 2K4",2282-User support technicians,1
,,High Efficiency Cooling and Heating Inc.,"Markham, ON L3R 8N5",1521-Shippers and receivers,1
,,Hitech Bay Inc,"SCARBOROUGH, ON M1B 2Y9",2282-User support technicians,2
,,Hockey Training Institute International Inc.,"BOND HEAD, ON L0G 1B0",5252-Coaches,1
,,HSX Incorporated,"WOODBRIDGE, ON L4H 1M4",7291-Roofers and shinglers,5
,,Ishina Distinguishing Indian Cuisine Inc.,"OTTAWA, ON K2H 8W2",6322-Cooks,1
,,Kamlin Ltd,"KITCHENER, ON N2K 1M3",6222-Retail and wholesale buyers,1
,,Kitchen & Bath Inc.,"Oakville, ON L6H 6A2","0124-Advertising, marketing and public relations managers",1
,,KMARC Roofing Inc,"Concord, ON L4K 1Z1",7291-Roofers and shinglers,1
,,Koni Ameri Tech Services (Canada) Inc.,"Toronto, ON M9W 5Z8",1241-Administrative assistants,1
,,LIBURDI ENGINEERING LTD,"DUNDAS, ON L9H 7K4",2175-Web designers and developers,1
,,MagCan Plastic Inc.,"Brampton, ON L6T 5P3","0124-Advertising, marketing and public relations managers",1
,,,,"1123-Professional occupations in advertising, marketing and public relations",1
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Carpenters,6
,,Med Carpentry Inc.,"Pickering, ON L1W 3V4",7271-Carpenters,1
,,Mellohawk Associates Inc.,"Mississauga, ON L4W 4X3",1221-Administrative officers,1
