"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by stream, National Occupational Classification (NOC) 2011 and business location in 2019 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Prince Edward Island,   Low Wage,D&D Brothers Investment Group Limited,"CHARLOTTETOWN, PE C1A 4N4",6322-Cooks,1
Prince Edward Island,   Low Wage,Kildare Fisheries Ltd,"Alberton, PE C0B 1B0",9463-Fish and seafood plant workers,70
Nova Scotia,    High Wage,Long Point Ventures Limited,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,6
Nova Scotia,   Low Wage,Buta Ramen Inc.,"HALIFAX, NS B3J 1B3",6322-Cooks,2
Nova Scotia,   Low Wage,Doraku Foods Limited o/a Ko-Doraku,"Halifax, NS B3J 4A2",6322-Cooks,1
New Brunswick,    High Wage,Dowon Brothers Inc. o/a Izakaya,"Moncton, NB E1C 5C4",6322-Cooks,1
New Brunswick,   Low Wage,682364 NB Inc. o/a Lee's Mini Mart,"FREDERICTON, NB E3B 8P4",6611-Cashiers,2
New Brunswick,   Low Wage,684422 NB Inc.,"Moncton, NB E1C 2S3","6711-Food counter attendants, kitchen helpers and related support occupations",1
New Brunswick,   Low Wage,Balaji Hospitality Management Inc.  o/a Knights Inn & Suites,"MIRAMICHI, NB E1V 1L2",6315-Cleaning supervisors,1
New Brunswick,   Low Wage,M.C.Luger Transport,"Scoudouc, NB E4P 1A4",7511-Transport truck drivers,3
New Brunswick,   Low Wage,Mariarch Trading Inc.O/A Forest Hills Variety and Pizza Shack,"SAINT JOHN, NB E2J 2G5",6211-Retail sales supervisors,1
Quebec,    High Wage,9220-8404 Québec Inc,"QUÉBEC, QC G1K 7R1",6322-Cooks,2
Quebec,    High Wage,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",0111-Financial managers,2
Quebec,    High Wage,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",1112-Financial and investment analysts,1
Quebec,    High Wage,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",1311-Accounting technicians and bookkeepers,1
Quebec,    High Wage,9264-5571 Québec Inc.,"VERDUN, QC H3Y 1H6",0631-Restaurant and food service managers,1
Quebec,    High Wage,9285-4629 Québec Inc,"VAL-D'OR, QC J9P 0B9","0651-Managers in customer and personal services, n.e.c.",1
Quebec,    High Wage,9293132 Canada Inc.,"MONTREAL, QC H4A 1G8",6321-Chefs,1
Quebec,    High Wage,Agence Humasanté inc.,"QUÉBEC, QC G1K 1X2",3233-Licensed practical nurses,3
Quebec,    High Wage,Assystem Canada Inc.,"St-Laurent, QC H4N 2L3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Quebec,    High Wage,Bétonnière la Tuque Inc.,"LA TUQUE, QC G9X 4T1",7521-Heavy equipment operators (except crane),1
Quebec,    High Wage,Bisco inc.,"WARWICK, QC J0A 1M0",7237-Welders and related machine operators,2
Quebec,    High Wage,Brossard Informatique INC.,"BROSSARD, QC J4W 2V7",1241-Administrative assistants,1
Quebec,    High Wage,Excel Santé INC.,"BLAINVILLE, QC J7C 2M9",3012-Registered nurses and registered psychiatric nurses,1
Quebec,    High Wage,Gestion Colimat Inc,"MONTREAL, QC H4C 2K1",0631-Restaurant and food service managers,1
Quebec,    High Wage,Gestion Colimat Inc,"MONTREAL, QC H4C 2K1",6321-Chefs,1
Quebec,    High Wage,Professionnels de santé La Prairie,"SAINT-JEAN-SUR-RICHELIEU, QC J2W 0A2",6211-Retail sales supervisors,1
Quebec,   Low Wage,9317-0942 Québec Inc,"St-Michel-des-Saints, QC J0K 3B0","6313-Accommodation, travel, tourism and related services supervisors",1
