"Employers who were Issued a Negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020(July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupation,Requested Positions
Newfoundland and Labrador,    High Wage,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",5134-Dancers,1
Newfoundland and Labrador,   Low Wage,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Food service supervisors,1
Prince Edward Island,   Low Wage,Prince Edward Island Coffee Inc,"Charlottetown, PE C1A 4A4",6321-Chefs,1
Nova Scotia,    High Wage,Dmflix Ltd.,"Dartmouth, NS B2W 4J6",6211-Retail sales supervisors,2
Nova Scotia,    High Wage,MCLEAN'S SERVICE CENTER LIMITED,"Newport, NS B0N 2A0",6411-Sales and account representatives - wholesale trade (non-technical),1
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,1
New Brunswick,    High Wage,10056715 Canada Inc.,"Riverview, NB E1B 2K9",7511-Transport truck drivers,5
New Brunswick,    High Wage,Computer Generated Solutions Canada Ltd.,"Saint John, NB E2L 5E8",4163-Business development officers and marketing researchers and consultants,1
New Brunswick,    High Wage,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Transport truck drivers,1
New Brunswick,    High Wage,Premium Express Inc.,"Lower Woodstock, NB E7M 4B2",7511-Transport truck drivers,1
New Brunswick,   Low Wage,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7511-Transport truck drivers,1
New Brunswick,   Low Wage,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7611-Construction trades helpers and labourers,8
New Brunswick,   Low Wage,Bliss Tanning Studio Inc,"Oromocto, NB E2V 0B9","6742-Other service support occupations, n.e.c.",2
New Brunswick,   Low Wage,Fredericton Montessori Academy Inc.,"Fredericton, NB E3B 5N8",4032-Elementary school and kindergarten teachers,1
New Brunswick,   Low Wage,McNair Management Inc,"Moncton, NB E1A 5P7","3413-Nurse aides, orderlies and patient service associates",1
